date,equity,position,close
2023-06-06,11442812.74864762,0.80785522,32506.77929688
2023-06-07,11274166.88754050,0.80498101,31913.74023438
2023-06-08,11196682.85780177,0.80363142,31641.26953125
2023-06-09,11374104.92875013,0.80669453,32265.16992188
2023-06-12,11422116.08974540,0.80750706,32434.00000000
2023-06-13,11588375.86152413,0.81026878,33018.64843750
2023-06-14,11737225.99121514,1.00000000,33502.42187500
2023-06-15,11731293.48229299,1.00000000,33485.48828125
2023-06-16,11808574.84592457,1.00000000,33706.07812500
2023-06-19,11690981.16041989,1.00000000,33370.42187500
2023-06-20,11697458.33798127,1.00000000,33388.91015625
2023-06-21,11762702.25098326,1.00000000,33575.14062500
2023-06-22,11654005.27609056,1.00000000,33264.87890625
2023-06-23,11484672.17540253,1.00000000,32781.53906250
2023-06-26,11455689.09807662,1.00000000,32698.81054688
2023-06-27,11399466.43047597,1.00000000,32538.33007812
2023-06-28,11629169.48095348,1.00000000,33193.98828125
2023-06-29,11643236.43809554,1.00000000,33234.14062500
2023-06-30,11627435.57350149,1.00000000,33189.03906250
2023-07-03,11825128.39331150,1.00000000,33753.32812500
2023-07-04,11709233.03389042,1.00000000,33422.51953125
2023-07-05,11679867.45685431,1.00000000,33338.69921875
2023-07-06,11481687.44600017,1.00000000,32773.01953125
2023-07-07,11346946.96221634,1.00000000,32388.41992188
2023-07-10,11277338.17327266,1.00000000,32189.73046875
2023-07-11,11282186.81897305,1.00000000,32203.57031250
2023-07-12,11191224.41919503,1.00000000,31943.92968750
2023-07-13,11357776.01483479,1.00000000,32419.33007812
2023-07-14,11347941.87201712,1.00000000,32391.25976562
2023-07-18,11383897.52903355,1.00000000,32493.89062500
2023-07-19,11524783.32569279,1.00000000,32896.03125000
2023-07-20,11382716.50130579,1.00000000,32490.51953125
2023-07-21,11317458.90316211,1.00000000,32304.25000000
2023-07-24,11456434.93829866,1.00000000,32700.93945312
2023-07-25,11449978.28844982,1.00000000,32682.50976562
2023-07-26,11445014.00330216,1.00000000,32668.33984375
2023-07-27,11523076.78852418,1.00000000,32891.16015625
2023-07-28,11476856.59098397,1.00000000,32759.23046875
2023-07-31,11621542.75149024,1.00000000,33172.21875000
2023-08-01,11728171.90147374,1.00000000,33476.57812500
2023-08-02,11458799.73078251,1.00000000,32707.68945312
2023-08-03,11266669.92106905,1.00000000,32159.27929688
2023-08-04,11278396.03472521,1.00000000,32192.75000000
2023-08-07,11300050.71867670,1.00000000,32254.56054688
2023-08-08,11343047.38109208,1.00000000,32377.28906250
2023-08-09,11282452.99497890,1.00000000,32204.33007812
2023-08-10,11376806.57286743,1.00000000,32473.65039062
2023-08-14,11231856.97338365,1.00000000,32059.91015625
2023-08-15,11294560.92408818,1.00000000,32238.89062500
2023-08-16,11129175.98677741,1.00000000,31766.82031250
2023-08-17,11079841.05098879,1.00000000,31626.00000000
2023-08-18,11018447.45260098,1.00000000,31450.75976562
2023-08-21,11058694.77005105,1.00000000,31565.64062500
2023-08-22,11160668.23483198,1.00000000,31856.71093750
2023-08-23,11214462.47403993,1.00000000,32010.25976562
2023-08-24,11311489.44435739,1.00000000,32287.21093750
2023-08-25,11079238.22049740,1.00000000,31624.27929688
2023-08-28,11270422.38692015,1.00000000,32169.99023438
2023-08-29,11290384.90310180,1.00000000,32226.97070312
2023-08-30,11327692.65211709,1.00000000,32333.46093750
2023-08-31,11427847.36156756,1.00000000,32619.33984375
2023-09-01,11459826.11640918,1.00000000,32710.61914062
2023-09-04,11539899.93320239,1.00000000,32939.17968750
2023-09-05,11574086.78565552,1.00000000,33036.76171875
2023-09-06,11645646.39154696,1.00000000,33241.01953125
2023-09-07,11558082.01245031,1.00000000,32991.07812500
2023-09-08,11423468.11622710,1.00000000,32606.83984375
2023-09-11,11374742.85350074,1.00000000,32467.75976562
2023-09-12,11472490.34125113,0.79962622,32776.37109375
2023-09-13,11452939.74601693,0.79928417,32706.51953125
2023-09-14,11582130.89274823,0.80152303,33168.10156250
2023-09-15,11684286.63410255,0.80325831,33533.08984375
2023-09-19,11602979.24866597,0.80187965,33242.58984375
2023-09-20,11541737.40815352,0.80082840,33023.78125000
2023-09-21,11415017.69194044,0.79861737,32571.02929688
2023-09-22,11367823.26351090,0.79778132,32402.41015625
2023-09-25,11445130.76903112,0.79914723,32678.61914062
2023-09-26,11343372.44638655,0.79734543,32315.05078125
2023-09-27,11339889.60245184,0.64014138,32371.90039062
2023-09-28,11227907.54917780,0.63655231,31872.51953125
2023-09-29,11224566.25904733,0.63644413,31857.61914062
2023-10-02,11202649.25279373,0.63573286,31759.88085938
2023-10-03,11085608.18230944,0.63188695,31237.93945312
2023-10-04,10926159.13689363,0.62651496,30526.88085938
2023-10-05,11049150.93604519,0.63067234,31075.35937500
2023-10-06,11031056.98937329,0.63006655,30994.66992188
2023-10-10,11199655.27464039,0.63563548,31746.52929688
2023-10-11,11242256.83329687,0.63701621,31936.50976562
2023-10-12,11367417.47092347,0.64101283,32494.66015625
2023-10-13,11327352.20944165,0.63974308,32315.99023438
2023-10-16,11180034.11880806,0.63499601,31659.02929688
2023-10-17,11265528.48765292,0.63776604,32040.28906250
2023-10-18,11265968.21177023,0.63778018,32042.25000000
2023-10-19,11128815.01858558,0.63331613,31430.61914062
2023-10-20,11090411.42373831,0.63204638,31259.35937500
2023-10-23,11032151.48197206,0.63010325,30999.55078125
2023-10-24,11046233.60303181,0.63057480,31062.34960938
2023-10-25,11092779.53957727,0.63212493,31269.91992188
2023-10-26,10942954.49590832,0.62708819,30601.77929688
2023-10-27,11030388.64375275,0.63004413,30991.68945312
2023-10-30,10964298.19651494,0.62781412,30696.96093750
2023-10-31,11000600.40061034,0.62904234,30858.84960938
2023-11-01,11167167.37068212,0.63457546,31601.65039062
2023-11-02,11245257.38103364,0.63711306,31949.89062500
2023-11-06,11415364.91859981,0.64252067,32708.48046875
2023-11-07,11317447.46749638,0.63942779,32271.82031250
2023-11-08,11293825.87332985,0.63867364,32166.48046875
2023-11-09,11401457.54845919,0.64208462,32646.46093750
2023-11-10,11383887.85454469,0.64153222,32568.10937500
2023-11-13,11387699.96482068,0.64165222,32585.10937500
2023-11-14,11412550.50906011,0.64243251,32695.92968750
2023-11-15,11541257.87202654,0.25192753,33519.69921875
2023-11-16,11532992.32269499,0.25139140,33424.41015625
2023-11-17,11546939.46304036,0.25229562,33585.19921875
2023-11-20,11529836.74915541,0.25118652,33388.03125000
2023-11-21,11526897.01372864,0.25099554,33354.14062500
2023-11-22,11558615.63642808,0.50127627,33451.82812500
2023-11-24,11588702.07232203,0.50257105,33625.53125000
2023-11-27,11513031.20163259,1.00000000,33447.67187500
2023-11-28,11499510.19309784,1.00000000,33408.39062500
2023-11-29,11469504.74098355,1.00000000,33321.21875000
2023-11-30,11526530.69702725,1.00000000,33486.89062500
2023-12-01,11507468.71035293,1.00000000,33431.51171875
2023-12-04,11438543.29870735,1.00000000,33231.26953125
2023-12-05,11281773.01329483,1.00000000,32775.82031250
2023-12-06,11512420.76628307,1.00000000,33445.89843750
2023-12-07,11310166.32447504,1.00000000,32858.30859375
2023-12-08,11120696.06615431,1.00000000,32307.85937500
2023-12-11,11287273.65429678,1.00000000,32791.80078125
2023-12-12,11305137.62798340,1.00000000,32843.69921875
2023-12-13,11333587.41115629,1.00000000,32926.35156250
2023-12-14,11250941.99443031,1.00000000,32686.25000000
2023-12-15,11348801.23490038,1.00000000,32970.55078125
2023-12-18,11275976.56661690,1.00000000,32758.98046875
2023-12-19,11434454.45752257,1.00000000,33219.39062500
2023-12-20,11591603.91202884,1.00000000,33675.94140625
2023-12-21,11407288.73989767,1.00000000,33140.46875000
2023-12-22,11417126.96776648,1.00000000,33169.05078125
2023-12-25,11446378.11540702,1.00000000,33254.03125000
2023-12-26,11464215.19766855,1.00000000,33305.85156250
