nikkei_event_date,nikkei_event_type,code,ticker,company,sector,normalized_top30_weight,component_breakdown20,component_breakdown60,component_volume_down,component_breakdown20_volume_confirmed,component_breakdown60_volume_confirmed,component_near_support20,component_low_volume_pullback,component_volume_ratio_60d,component_1d_return
2022-06-15,near_support_20d,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,False,False,False,True,True,0.958053,-0.01024043
2022-06-15,near_support_20d,8058,8058.T,MITSUBISHI CORP.,Materials,0.01634046,False,False,False,False,False,False,False,0.984783,-0.03287729
2022-06-15,near_support_20d,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01619648,False,False,False,False,False,False,False,0.804051,-0.00715990
2022-06-15,near_support_20d,6988,6988.T,NITTO DENKO CORP.,Materials,0.01569411,False,False,False,False,False,False,False,0.693253,-0.00529101
2022-06-15,near_support_20d,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.01510409,False,False,False,False,False,False,False,0.910029,-0.01084337
2022-06-15,near_support_20d,6920,6920.T,LASERTEC CORP.,Technology,0.01366583,False,False,False,False,False,False,False,0.777396,-0.01013025
2022-06-15,near_support_20d,7741,7741.T,HOYA CORP.,Technology,0.01360010,True,False,True,True,False,False,False,1.283589,-0.02940008
2022-06-15,near_support_20d,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.01290366,False,False,False,False,False,False,False,0.805786,-0.01457150
2022-06-15,near_support_20d,6146,6146.T,DISCO CORP.,Technology,0.01254683,False,False,False,False,False,False,False,0.793744,-0.00312986
2022-06-15,near_support_20d,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.01236686,True,True,False,False,False,False,False,0.689431,-0.01828751
2022-06-15,near_support_20d,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.01220879,False,False,False,False,False,False,False,0.879171,-0.03076923
2022-06-15,near_support_20d,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.01188483,False,False,False,False,False,False,False,0.948014,-0.00042962
2022-06-15,near_support_20d,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.01127916,False,False,False,False,False,True,True,0.708774,-0.01642710
2022-06-15,near_support_20d,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.01123064,False,False,False,False,False,False,False,0.839649,-0.00893102
2022-06-17,breakdown_20d,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,True,True,True,True,True,False,False,1.947776,-0.04089710
2022-06-17,breakdown_20d,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,False,False,False,False,False,False,False,1.471216,0.00543233
2022-06-17,breakdown_20d,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,True,True,True,True,True,False,False,1.819392,-0.05040527
2022-06-17,breakdown_20d,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,True,False,True,True,False,False,False,1.814296,-0.04240000
2022-06-17,breakdown_20d,9433,9433.T,KDDI CORP.,Technology,0.03348065,True,False,True,True,False,False,False,1.413831,-0.00754113
2022-06-17,breakdown_20d,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,True,True,True,True,True,False,False,2.376417,-0.04963504
2022-06-17,breakdown_20d,6762,6762.T,TDK CORP.,Technology,0.03021131,True,False,True,True,False,False,False,1.394443,-0.04494382
2022-06-17,breakdown_20d,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,False,False,False,False,False,1.864178,0.02085920
2022-06-17,breakdown_20d,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,True,True,False,False,False,False,False,1.196933,-0.01692399
2022-06-17,breakdown_20d,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,False,False,0.937831,-0.01854141
2022-06-17,breakdown_20d,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,True,True,True,True,True,False,False,2.303562,-0.05822785
2022-06-17,breakdown_20d,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,True,False,True,True,False,False,False,1.519566,-0.02420382
2022-06-17,breakdown_20d,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,True,False,False,False,False,1.786326,-0.01333517
2022-06-17,breakdown_20d,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,True,False,False,False,False,1.228940,-0.01519681
2022-06-17,breakdown_20d,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,True,False,False,False,False,1.836517,-0.03970744
2022-06-17,breakdown_20d,4543,4543.T,TERUMO CORP.,Technology,0.01727635,False,False,False,False,False,True,False,1.191022,-0.00286086
2022-06-17,breakdown_20d,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,True,False,False,False,False,1.337482,-0.00620292
2022-06-17,breakdown_20d,8058,8058.T,MITSUBISHI CORP.,Materials,0.01634046,False,False,False,False,False,False,False,1.135758,-0.00540054
2022-06-17,breakdown_20d,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01619648,False,False,True,False,False,False,False,1.616797,-0.03598131
2022-06-17,breakdown_20d,6988,6988.T,NITTO DENKO CORP.,Materials,0.01569411,False,False,True,False,False,False,False,1.288883,-0.02878465
2022-06-17,breakdown_20d,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.01510409,True,True,True,True,True,False,False,1.907187,-0.06000000
2022-06-17,breakdown_20d,6920,6920.T,LASERTEC CORP.,Technology,0.01366583,True,True,True,True,True,False,False,1.342820,-0.08195266
2022-06-17,breakdown_20d,7741,7741.T,HOYA CORP.,Technology,0.01360010,True,True,True,True,True,False,False,1.900736,-0.06247481
2022-06-17,breakdown_20d,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.01290366,False,False,True,False,False,False,False,1.645575,-0.01567554
2022-06-17,breakdown_20d,6146,6146.T,DISCO CORP.,Technology,0.01254683,True,False,True,True,False,False,False,1.433999,-0.03110426
2022-06-17,breakdown_20d,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.01236686,False,False,False,False,False,True,False,1.200443,0.00208666
2022-06-17,breakdown_20d,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.01220879,False,False,True,False,False,False,False,1.906112,-0.02443494
2022-06-17,breakdown_20d,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.01188483,False,False,True,False,False,False,False,1.585835,-0.01508786
2022-06-17,breakdown_20d,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.01127916,False,False,False,False,False,False,False,1.259813,0.00000000
2022-06-17,breakdown_20d,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.01123064,False,False,True,False,False,False,False,1.911512,-0.00957320
2022-06-17,volume_down_day,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,True,True,True,True,True,False,False,1.947776,-0.04089710
2022-06-17,volume_down_day,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,False,False,False,False,False,False,False,1.471216,0.00543233
2022-06-17,volume_down_day,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,True,True,True,True,True,False,False,1.819392,-0.05040527
2022-06-17,volume_down_day,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,True,False,True,True,False,False,False,1.814296,-0.04240000
2022-06-17,volume_down_day,9433,9433.T,KDDI CORP.,Technology,0.03348065,True,False,True,True,False,False,False,1.413831,-0.00754113
2022-06-17,volume_down_day,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,True,True,True,True,True,False,False,2.376417,-0.04963504
2022-06-17,volume_down_day,6762,6762.T,TDK CORP.,Technology,0.03021131,True,False,True,True,False,False,False,1.394443,-0.04494382
2022-06-17,volume_down_day,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,False,False,False,False,False,1.864178,0.02085920
2022-06-17,volume_down_day,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,True,True,False,False,False,False,False,1.196933,-0.01692399
2022-06-17,volume_down_day,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,False,False,0.937831,-0.01854141
2022-06-17,volume_down_day,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,True,True,True,True,True,False,False,2.303562,-0.05822785
2022-06-17,volume_down_day,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,True,False,True,True,False,False,False,1.519566,-0.02420382
2022-06-17,volume_down_day,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,True,False,False,False,False,1.786326,-0.01333517
2022-06-17,volume_down_day,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,True,False,False,False,False,1.228940,-0.01519681
2022-06-17,volume_down_day,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,True,False,False,False,False,1.836517,-0.03970744
2022-06-17,volume_down_day,4543,4543.T,TERUMO CORP.,Technology,0.01727635,False,False,False,False,False,True,False,1.191022,-0.00286086
2022-06-17,volume_down_day,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,True,False,False,False,False,1.337482,-0.00620292
2022-06-17,volume_down_day,8058,8058.T,MITSUBISHI CORP.,Materials,0.01634046,False,False,False,False,False,False,False,1.135758,-0.00540054
2022-06-17,volume_down_day,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01619648,False,False,True,False,False,False,False,1.616797,-0.03598131
