nikkei_breakout_date,nikkei_event_type,nikkei_5d_fallback,code,ticker,company,sector,official_weight,normalized_top30_weight,component_breakout20,component_breakout60,component_volume_confirmed,component_volume_ratio_60d,component_breakout20_volume_confirmed,component_breakout60_volume_confirmed,component_breakout20_5d_no_fallback,component_breakout60_5d_no_fallback,component_close_position20
2016-12-20,breakout_20d,True,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.00824500,0.01290366,True,True,False,0.805487,False,False,False,False,1.108871
2016-12-20,breakout_20d,True,6146,6146.T,DISCO CORP.,Technology,0.00801700,0.01254683,False,False,False,0.761364,False,False,False,False,0.852941
2016-12-20,breakout_20d,True,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.00790200,0.01236686,True,True,False,0.649336,False,False,True,True,1.022312
2016-12-20,breakout_20d,True,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.00780100,0.01220879,False,False,False,1.033743,False,False,False,False,0.797136
2016-12-20,breakout_20d,True,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.00759400,0.01188483,False,False,False,0.829984,False,False,False,False,0.574468
2016-12-20,breakout_20d,True,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.00720700,0.01127916,True,True,True,1.234526,True,True,False,False,1.069652
2016-12-20,breakout_20d,True,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.00717600,0.01123064,False,False,False,1.005670,False,False,False,False,0.384820
2016-12-20,breakout_60d,True,6857,6857.T,ADVANTEST CORP.,Technology,0.10646200,0.16661606,True,True,True,1.216729,True,True,True,True,1.113924
2016-12-20,breakout_60d,True,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.09682100,0.15152762,False,False,False,0.754552,False,False,False,False,0.915367
2016-12-20,breakout_60d,True,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.07311100,0.11442080,True,True,False,0.826759,False,False,True,True,1.278835
