adjustment,base_position,date,equity_before,price,regime,target_position,type
,,2022-10-12,10041852.21,26353.2207,,0.20,execute
-1,0.20,2022-10-12,,,range,0.00,signal
,,2022-10-13,10045312.51,26398.2891,,0.00,execute
0,0.21,2022-10-14,,,range,0.21,signal
,,2022-10-17,10045312.51,26785.0195,,0.21,execute
-1,0.21,2022-10-18,,,range,0.00,signal
,,2022-10-19,10079263.47,27225.1699,,0.00,execute
0,0.21,2022-11-08,,,range,0.21,signal
,,2022-11-09,10079263.47,27884.5508,,0.21,execute
-1,0.21,2022-11-09,,,range,0.00,signal
,,2022-11-10,10046912.01,27459.0801,,0.00,execute
0,0.21,2022-11-11,,,range,0.21,signal
,,2022-11-14,10046912.01,28277.6406,,0.21,execute
-1,0.21,2022-11-17,,,range,0.00,signal
,,2022-11-18,10026674.00,28009.8203,,0.00,execute
0,0.21,2022-11-22,,,range,0.21,signal
,,2022-11-24,10026674.00,28373.7207,,0.21,execute
-1,0.21,2022-11-29,,,range,0.00,signal
,,2022-11-30,9990219.16,27886.6699,,0.00,execute
0,0.21,2022-12-01,,,range,0.21,signal
,,2022-12-02,9990219.16,27983.1797,,0.21,execute
-1,0.21,2022-12-02,,,range,0.00,signal
,,2022-12-05,9972759.15,27752.9902,,0.00,execute
0,0.20,2022-12-20,,,bull,0.20,signal
,,2022-12-21,9972759.15,26547.1699,,0.20,execute
1,0.20,2022-12-22,,,bull,0.45,signal
,,2022-12-23,9946939.29,26207.7695,,0.45,execute
0,0.20,2023-01-18,,,range,0.20,signal
,,2023-01-19,10004137.75,26541.0801,,0.20,execute
1,0.20,2023-01-19,,,range,0.45,signal
,,2023-01-20,9989200.43,26346.6895,,0.45,execute
-1,0.20,2023-01-23,,,range,0.00,signal
,,2023-01-24,10126793.15,27150.4297,,0.00,execute
1,0.21,2023-01-24,,,range,0.46,signal
,,2023-01-25,10126793.15,27175.8809,,0.46,execute
-1,0.30,2023-01-27,,,range,0.05,signal
,,2023-01-30,10162360.53,27384.7695,,0.05,execute
0,0.55,2023-01-31,,,range,0.55,signal
,,2023-02-01,10164177.94,27483.4102,,0.55,execute
1,0.55,2023-02-02,,,range,0.75,signal
,,2023-02-03,10158417.56,27455.0293,,0.75,execute
0,0.55,2023-02-03,,,range,0.55,signal
,,2023-02-06,10244340.60,27764.6602,,0.55,execute
0,0.33,2023-02-14,,,range,0.33,signal
,,2023-02-15,10228366.49,27686.0098,,0.33,execute
0,0.75,2023-03-13,,,range,0.75,signal
,,2023-03-14,10200402.54,27455.9492,,0.75,execute
-1,0.75,2023-03-17,,,range,0.50,signal
,,2023-03-20,10144083.46,27253.7305,,0.50,execute
0,0.74,2023-03-20,,,range,0.74,signal
,,2023-03-22,10152287.87,27298.1504,,0.74,execute
-1,0.75,2023-04-07,,,bull,0.50,signal
,,2023-04-10,10251935.34,27658.5195,,0.50,execute
0,0.75,2023-04-11,,,bull,0.75,signal
,,2023-04-12,10312311.28,27985.9297,,0.75,execute
-1,0.75,2023-04-19,,,bull,0.50,signal
,,2023-04-20,10446687.18,28472.0000,,0.50,execute
-1,1.00,2023-04-24,,,bull,0.75,signal
,,2023-04-25,10488492.32,28697.7305,,0.75,execute
0,1.00,2023-04-25,,,bull,1.00,signal
,,2023-04-26,10428404.15,28478.5195,,1.00,execute
-1,1.00,2023-04-26,,,bull,0.75,signal
,,2023-04-27,10377896.38,28340.5898,,0.75,execute
0,1.00,2023-04-27,,,bull,1.00,signal
,,2023-04-28,10478227.47,28705.9102,,1.00,execute
0,0.80,2023-05-30,,,bull,0.80,signal
,,2023-05-31,11336454.76,31057.0898,,0.80,execute
0,1.00,2023-06-13,,,bull,1.00,signal
,,2023-06-14,12001169.10,33331.4688,,1.00,execute
-1,1.00,2023-08-24,,,bull,0.75,signal
,,2023-08-25,11464485.71,31840.9102,,0.75,execute
0,1.00,2023-08-25,,,bull,1.00,signal
,,2023-08-28,11484676.58,31915.6797,,1.00,execute
-1,1.00,2023-09-01,,,bull,0.75,signal
,,2023-09-04,11801929.96,32797.3203,,0.75,execute
0,1.00,2023-09-07,,,bull,1.00,signal
,,2023-09-08,11834027.09,32916.2500,,1.00,execute
-1,1.00,2023-09-08,,,bull,0.75,signal
,,2023-09-11,11752879.66,32690.5391,,0.75,execute
0,0.61,2023-10-10,,,bull,0.61,signal
,,2023-10-11,11525455.09,31847.0996,,0.61,execute
1,0.60,2023-10-23,,,bull,0.85,signal
,,2023-10-24,11373672.10,31157.0098,,0.85,execute
0,0.60,2023-10-24,,,bull,0.60,signal
,,2023-10-25,11418928.62,31302.5098,,0.60,execute
1,0.60,2023-10-26,,,bull,0.85,signal
,,2023-10-27,11289524.36,30713.7891,,0.85,execute
0,0.60,2023-10-31,,,bull,0.60,signal
,,2023-11-01,11475956.93,31311.2207,,0.60,execute
-1,0.61,2023-11-13,,,bull,0.36,signal
,,2023-11-14,11795184.45,32760.5098,,0.36,execute
-1,0.25,2023-11-14,,,bull,0.00,signal
,,2023-11-15,11841283.82,33112.3086,,0.00,execute
0,0.25,2023-11-20,,,bull,0.25,signal
,,2023-11-21,11841283.82,33453.1484,,0.25,execute
0,0.50,2023-11-21,,,bull,0.50,signal
,,2023-11-22,11817035.15,33182.9883,,0.50,execute
0,1.00,2023-11-24,,,bull,1.00,signal
,,2023-11-27,11910740.63,33710.0312,,1.00,execute
-1,1.00,2023-11-30,,,bull,0.75,signal
,,2023-12-01,11849759.59,33537.4414,,0.75,execute
0,1.00,2023-12-01,,,bull,1.00,signal
,,2023-12-04,11791626.91,33318.0703,,1.00,execute
0,0.80,2024-01-30,,,bull,0.80,signal
