symbol,source,trade_date,open,high,low,close,adj_close,volume
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-24,41657.98046875,42065.828125,41554.1796875,41826.33984375,41826.33984375,149400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-25,41760.578125,41773.69921875,41389.7890625,41456.23046875,41456.23046875,117500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-28,41515.91015625,41534.2109375,40997.87109375,40998.26953125,40998.26953125,106500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-29,40767.76953125,40792.8515625,40563.53125,40674.55078125,40674.55078125,101000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-30,40744.53125,40744.53125,40556.609375,40654.69921875,40654.69921875,123700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-31,40693.0,41151.25,40639.3203125,41069.8203125,41069.8203125,134800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-01,41029.83984375,41064.73046875,40588.171875,40799.6015625,40799.6015625,148400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-04,40118.80859375,40332.25,39850.51953125,40290.69921875,40290.69921875,130800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-05,40521.0,40649.37890625,40421.87890625,40549.5390625,40549.5390625,145300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-06,40430.4609375,40850.890625,40423.12890625,40794.859375,40794.859375,145500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-07,40668.19140625,41164.109375,40668.19140625,41059.1484375,41059.1484375,154000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-08,41283.69921875,42033.921875,41248.05078125,41820.48046875,41820.48046875,183300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-12,42098.3203125,42999.7109375,42083.578125,42718.171875,42718.171875,176100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-13,43090.91015625,43451.4609375,43008.19921875,43274.671875,43274.671875,154100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-14,43129.1796875,43199.828125,42606.73046875,42649.26171875,42649.26171875,127800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-15,42866.37890625,43405.4296875,42736.859375,43378.30859375,43378.30859375,134500000
