symbol,policy_name,rebound_check_day,hold_days,signal_date,entry_date,trigger_date,exit_date,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2025-10-28,2025-10-29,,2025-11-19,8.562000274658203,8.767999649047852,time_exit,0.024059725272301824,1541832.688578496,1578928.759481549,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2026-02-02,2026-02-03,,2026-03-04,10.232000350952148,10.878000259399414,time_exit,0.063135250810185,1578928.759481549,1678614.8227228308,29
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2026-03-17,2026-03-18,2026-03-24,2026-03-25,10.508000373840332,9.60200023651123,fail_to_rebound_d5,-0.08622003284131863,1678614.8227228308,1533884.5975797442,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2026-03-25,2026-03-26,,2026-04-17,9.517999649047852,10.506999969482422,time_exit,0.103908421611836,1533884.5975797442,1693268.1250489617,22
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-01-08,2021-01-11,,2021-02-08,3.690000057220459,3.6659998893737793,time_exit,-0.006504110426696852,1000000.0,993495.8895733032,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-02-18,2021-02-19,,2021-03-19,3.586999893188477,3.5390000343322754,time_exit,-0.013381617029693982,993495.8895733032,980201.308058458,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-03-30,2021-03-31,,2021-04-29,3.470000028610229,3.624000072479248,time_exit,0.044380415734664336,980201.308058458,1023703.0496137541,29
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-06-17,2021-06-18,2021-06-24,2021-06-25,3.5999999046325684,3.58899998664856,fail_to_rebound_d5,-0.003055532854279619,1023703.0496137541,1020575.0913126331,7
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-08-06,2021-08-09,,2021-09-06,3.526000022888184,3.6649999618530273,time_exit,0.0394214231601131,1020575.0913126331,1060807.6138539396,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-09-16,2021-09-17,,2021-10-26,3.555999994277954,3.5829999446868896,time_exit,0.007592786966361675,1060807.6138539396,1068862.100078227,39
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2021-11-23,2021-11-24,,2021-12-22,3.565999984741211,3.561000108718872,time_exit,-0.0014020964788932222,1068862.100078227,1067363.452291285,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-01-28,2022-02-07,,2022-03-07,3.5789999961853027,3.888000011444092,time_exit,0.08633696998830365,1067363.452291285,1159516.3786383697,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-03-16,2022-03-17,,2022-04-18,3.7820000648498535,3.928999900817871,time_exit,0.03886827960005701,1159516.3786383697,1204584.7854441314,32
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-04-25,2022-04-26,,2022-05-27,3.848999977111816,3.865000009536743,time_exit,0.004156932325297902,1204584.7854441314,1209592.162877306,31
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-06-14,2022-06-15,,2022-07-13,3.8010001182556152,3.624000072479248,time_exit,-0.04656670357000603,1209592.162877306,1153265.443187996,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-07-15,2022-07-18,,2022-08-15,3.595000028610229,3.76200008392334,time_exit,0.046453422526861576,1153265.443187996,1206838.5701060363,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-08-22,2022-08-23,,2022-09-21,3.7160000801086426,3.7060000896453857,time_exit,-0.0026910630375887035,1206838.5701060363,1203590.8914376874,29
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-09-26,2022-09-27,,2022-11-01,3.697999954223633,3.763000011444092,time_exit,0.017577084376710017,1203590.8914376874,1224746.5100915274,35
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2022-11-03,2022-11-04,,2022-12-02,3.763000011444092,3.930000066757202,time_exit,0.044379499018130986,1224746.5100915274,1279100.1466335936,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2023-02-03,2023-02-06,2023-02-10,2023-02-13,3.990000009536743,3.950000047683716,fail_to_rebound_d5,-0.010025053072035384,1279100.1466335936,1266277.0997791437,7
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2023-02-15,2023-02-16,,2023-03-16,3.950999975204468,4.113999843597412,time_exit,0.041255345334318516,1266277.0997791437,1318517.7988194716,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2023-05-18,2023-05-19,,2023-06-16,4.277999877929688,4.302999973297119,time_exit,0.005843874726693343,1318517.7988194716,1326223.0516606881,28
