etf_code,strategy,signal_date,etf_execute_date,execution_date_shift_days,signal_adjustment,signal_base_position,signal_regime,old_position_ratio_open,target_position,new_position_ratio_open,action,execution_reason,etf_open,etf_close,etf_nav,premium_open_proxy_pct,premium_close_pct,cash_before,equity_before_open,trade_gross_value,trade_fee,trade_shares,shares_after,cash_after,equity_after_open
513520,next_open_no_cost,2022-07-05,2022-07-06,1,0.0,0.2,bear,0.3492985341285205,0.2,0.20000000000000004,sell,sell_to_target,0.9710000157356262,0.968999981880188,0.9687,0.23743323377993786,0.0309674698242945,766711.1941454881,958388.9926818602,143086.0717323111,0.0,-147359.49476160368,197402.46697231787,766711.1941454881,958388.9926818602
513520,next_open_no_cost,2022-07-12,2022-07-13,1,-1.0,0.2,bear,0.1991752585326844,0.0,0.0,sell,sell_to_target,0.9660000205039978,0.9670000076293944,0.9689,-0.29930637795461124,-0.1960978811647695,957401.9812882869,957401.9812882869,190690.7871427988,0.0,-197402.46697231787,0.0,957401.9812882869,957401.9812882869
513520,next_open_no_cost,2022-07-15,2022-07-18,3,0.0,0.2,bear,0.0,0.2,0.2,buy,buy_to_target,0.9760000109672546,0.984000027179718,0.9752,0.08203557908681436,0.9023817862713336,765921.5850306295,957401.9812882869,191480.39625765738,0.0,196188.92838729863,196188.92838729863,765921.5850306295,957401.9812882869
513520,next_open_no_cost,2022-07-20,2022-07-21,1,-1.0,0.21,bear,0.20423970047900708,0.0,0.0,sell,sell_to_target,1.0019999742507937,1.00600004196167,1.0138,-1.1639402001584531,-0.7693783821592137,962502.8862229935,962502.8862229935,196581.30119236402,0.0,-196188.92838729863,0.0,962502.8862229935,962502.8862229935
513520,next_open_no_cost,2022-08-19,2022-08-22,3,0.0,0.22,range,0.0,0.22,0.22,buy,buy_to_target,1.065000057220459,1.0640000104904177,1.0671,-0.1967896897704935,-0.2905059984614766,750752.2512539349,962502.8862229935,211750.63496905856,0.0,198826.8766122943,198826.8766122943,750752.2512539349,962502.8862229935
513520,next_open_no_cost,2022-08-22,2022-08-23,1,-1.0,0.22,range,0.2193549490735206,0.0,0.0,sell,sell_to_target,1.0609999895095823,1.0579999685287476,1.0591,0.17939661123429484,-0.1038647409359216,961707.5652538022,961707.5652538022,210955.31399986727,0.0,-198826.8766122943,0.0,961707.5652538022,961707.5652538022
513520,next_open_no_cost,2022-09-01,2022-09-02,1,0.0,0.21,range,0.0,0.21,0.20999999999999996,buy,buy_to_target,1.0199999809265137,1.0199999809265137,1.0139,0.601635361131625,0.601635361131625,759748.9765505038,961707.5652538022,201958.58870329845,0.0,197998.62007825729,197998.62007825729,759748.9765505038,961707.5652538022
513520,next_open_no_cost,2022-09-02,2022-09-05,3,-1.0,0.21,range,0.20999999999999996,0.0,0.0,sell,sell_to_target,1.0199999809265137,1.0199999809265137,1.0187,0.12761175287265836,0.1276117528726583,961707.5652538022,961707.5652538022,201958.58870329845,0.0,-197998.62007825729,0.0,961707.5652538022,961707.5652538022
513520,next_open_no_cost,2022-09-14,2022-09-15,1,0.0,0.21,range,0.0,0.21,0.20999999999999996,buy,buy_to_target,1.0190000534057615,1.0080000162124634,1.0098,0.9110767880532222,-0.1782515139172713,759748.9765505038,961707.5652538022,201958.58870329845,0.0,198192.91277591267,198192.91277591267,759748.9765505038,961707.5652538022
513520,next_open_no_cost,2022-09-15,2022-09-16,1,-1.0,0.21,range,0.20689450475463958,0.0,0.0,sell,sell_to_target,1.0,1.0019999742507937,1.0047,-0.4678013337314546,-0.2687394992740621,957941.8893264164,957941.8893264164,198192.91277591267,0.0,-198192.91277591267,0.0,957941.8893264164,957941.8893264164
