strategy,date,cash,shares_159866,shares_513520,equity,position_ratio,premium_open_159866,premium_open_513520
dual_low_premium_buy_no_deadband_3bp,2025-06-27,1063140.0706895678,0.0,229990.56660329356,1418245.512324472,0.25038361732792963,0.0952479106253401,-0.05836898741365948
dual_low_premium_buy_no_deadband_3bp,2025-06-30,1409651.3337218086,0.0,9075.814313657931,1423773.3007419282,0.009918690716254185,0.9355419317076397,0.6737251024732771
dual_low_premium_buy_no_deadband_3bp,2025-07-01,1053404.8076496555,0.0,239736.22710360662,1421879.3745328214,0.2591461508499857,0.32081380738437915,0.12970360336599374
dual_low_premium_buy_no_deadband_3bp,2025-07-02,1053404.8076496555,0.0,239736.22710360662,1421399.9082516318,0.2588962462046464,-0.4077381879631692,0.09135058727958167
dual_low_premium_buy_no_deadband_3bp,2025-07-03,1053404.8076496555,0.0,239736.22710360662,1420920.4419704422,0.2586461729068655,0.008694334998016195,0.5882375380572125
dual_low_premium_buy_no_deadband_3bp,2025-07-04,1350013.170718724,0.0,46322.03889100379,1420746.9218081275,0.04978631310309906,0.3496505163766317,0.3270136756472919
dual_low_premium_buy_no_deadband_3bp,2025-07-07,354749.2751221956,874310.5412733267,46322.03889100379,1416256.3009001855,0.749516189338954,-0.09656646088211929,0.2182963349133482
dual_low_premium_buy_no_deadband_3bp,2025-07-08,354749.2751221956,874310.5412733267,46322.03889100379,1416256.3009001855,0.749516189338954,-0.05297814917692989,0.03982803255591083
dual_low_premium_buy_no_deadband_3bp,2025-07-09,354749.2751221956,874310.5412733267,46322.03889100379,1413355.5265034605,0.749002095743157,-0.026614543529346335,0.13972953833445434
dual_low_premium_buy_no_deadband_3bp,2025-07-10,354749.2751221956,874310.5412733267,46322.03889100379,1413448.1693884865,0.7490185471210635,0.2926347398838347,-3.424096617354877e-06
dual_low_premium_buy_no_deadband_3bp,2025-07-11,354749.2751221956,874310.5412733267,46322.03889100379,1406083.0938214497,0.7477039040715164,0.5611426473311587,0.8510349950833218
dual_low_premium_buy_no_deadband_3bp,2025-07-14,354749.2751221956,874310.5412733267,46322.03889100379,1402307.8582789274,0.7470246828983869,0.48491002499373437,0.7344521776410984
dual_low_premium_buy_no_deadband_3bp,2025-07-15,354749.2751221956,874310.5412733267,46322.03889100379,1409811.9009345123,0.7483712012311392,0.3593875819889236,0.21479598050597737
dual_low_premium_buy_no_deadband_3bp,2025-07-16,354749.2751221956,874310.5412733267,46322.03889100379,1404149.2094816533,0.7473564257083815,1.8451561803583205,1.4208358098753981
dual_low_premium_buy_no_deadband_3bp,2025-07-17,354749.2751221956,874310.5412733267,46322.03889100379,1410686.2523323535,0.7485271621980636,0.3129172122632973,0.3153730637033947
dual_low_premium_buy_no_deadband_3bp,2025-07-18,0.0,874310.5412733267,282435.81275069795,1409001.6766282837,1.0,1.1578829773623234,1.1107353921772978
dual_low_premium_buy_no_deadband_3bp,2025-07-21,0.0,874310.5412733267,282435.81275069795,1412471.93995986,1.0,1.2658246683575847,0.7116959849603921
dual_low_premium_buy_no_deadband_3bp,2025-07-22,0.0,874310.5412733267,282435.81275069795,1405813.8623076947,1.0,1.5310183304875213,1.0467016882494518
dual_low_premium_buy_no_deadband_3bp,2025-07-23,359641.09148617944,655732.9059549951,211826.8595630235,1459306.1687187462,0.7535533672128994,-1.0156673990237453,-0.9805207959360795
dual_low_premium_buy_no_deadband_3bp,2025-07-24,359641.09148617944,655732.9059549951,211826.8595630235,1470927.120849295,0.7555004008094384,1.099835232833124,0.04421091498334473
dual_low_premium_buy_no_deadband_3bp,2025-07-25,0.0,655732.9059549951,442001.77836921555,1451241.5526035582,1.0,0.2656574757610608,0.12820745125794453
dual_low_premium_buy_no_deadband_3bp,2025-07-28,705831.8656219451,334423.78203704744,225420.90696829997,1436214.8870947408,0.50854717357112,0.7306882716254126,0.35142882422949384
dual_low_premium_buy_no_deadband_3bp,2025-07-29,357604.16842566355,334423.78203704744,454148.4171328197,1436035.2966523063,0.7509781484763554,0.5458672253635166,0.10523251626592955
dual_low_premium_buy_no_deadband_3bp,2025-07-30,0.0,334423.78203704744,687959.3452510687,1438521.9503673275,1.0,0.6073414906892172,0.49293748728349573
dual_low_premium_buy_no_deadband_3bp,2025-07-31,360888.5437141418,250817.83652778558,515969.50893830153,1450529.3768305131,0.7512021821283597,1.2436519635498522,0.11724471548935078
dual_low_premium_buy_no_deadband_3bp,2025-08-01,573076.4184205733,201155.17128457024,413806.03702241805,1429723.2763510519,0.5991696939542158,1.9374293616518878,0.5557013050088377
dual_low_premium_buy_no_deadband_3bp,2025-08-04,573076.4184205733,201155.17128457024,413806.03702241805,1431970.4780413555,0.5997987198699617,-0.484799603209618,-0.5287511413332058
dual_low_premium_buy_no_deadband_3bp,2025-08-05,573076.4184205733,201155.17128457024,413806.03702241805,1439976.4516687081,0.6020237568770884,0.5249386384418075,-0.13733893081318005
dual_low_premium_buy_no_deadband_3bp,2025-08-06,573076.4184205733,201155.17128457024,413806.03702241805,1442648.9496148962,0.6027610053204201,0.9422391939071684,-0.5075452974350192
dual_low_premium_buy_no_deadband_3bp,2025-08-07,573076.4184205733,201155.17128457024,413806.03702241805,1447177.8403200526,0.604004150385668,0.7886287895167765,-2.777692176270108e-06
dual_low_premium_buy_no_deadband_3bp,2025-08-08,573076.4184205733,201155.17128457024,413806.03702241805,1461367.9074902968,0.6078493201587031,0.5856839639708955,0.23517586820753777
dual_low_premium_buy_no_deadband_3bp,2025-08-11,573076.4184205733,201155.17128457024,413806.03702241805,1470805.0016002976,0.610365468028024,1.866852992250223,1.3487755668301293
dual_low_premium_buy_no_deadband_3bp,2025-08-12,573076.4184205733,201155.17128457024,413806.03702241805,1472046.428393361,0.6106940600738745,0.3683242050622981,0.025007742051630366
dual_low_premium_buy_no_deadband_3bp,2025-08-13,573076.4184205733,201155.17128457024,413806.03702241805,1488886.002416892,0.615097181724924,-0.06602032779958744,-0.4806501394661655
dual_low_premium_buy_no_deadband_3bp,2025-08-14,573076.4184205733,201155.17128457024,413806.03702241805,1481081.14403129,0.6130688580230373,0.49203927239964695,-0.27271801319739275
dual_low_premium_buy_no_deadband_3bp,2025-08-15,948172.9630129291,118089.33971695883,242927.29523586988,1490025.2953840962,0.3636531098161588,-0.806713622378652,-1.4748170671859295
dual_low_premium_buy_no_deadband_3bp,2025-08-18,566506.7032004126,118089.33971695883,475722.76853151317,1492775.2653206028,0.6205010115312005,-0.1384742720037413,-0.34050479301147574
dual_low_premium_buy_no_deadband_3bp,2025-08-19,566506.7032004126,118089.33971695883,475722.76853151317,1489688.1268301867,0.6197145610565841,0.44277007558690684,0.04280787582084944
dual_low_premium_buy_no_deadband_3bp,2025-08-20,566506.7032004126,118089.33971695883,475722.76853151317,1477450.8947618497,0.6165647838389053,0.108175872119598,0.0806078506046859
dual_low_premium_buy_no_deadband_3bp,2025-08-21,0.0,118089.33971695883,829241.3720483971,1470033.7948731321,1.0,0.0835383645474419,-0.018723204602677512
dual_low_premium_buy_no_deadband_3bp,2025-08-22,0.0,118089.33971695883,829241.3720483971,1463756.7792977775,1.0,0.40363317541589616,0.2704901478384647
dual_low_premium_buy_no_deadband_3bp,2025-08-25,0.0,118089.33971695883,829241.3720483971,1475717.8188953027,1.0,0.2664886896487806,0.180676596742968
dual_low_premium_buy_no_deadband_3bp,2025-08-26,0.0,118089.33971695883,829241.3720483971,1459967.3923061232,1.0,0.7935172819555802,0.4160397352140688
