holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,ret_5d_bucket,ma20_gap_bucket,resonance_regime,failure_risk_share
20,20,0.8,0.01665708888236466,0.018056437575831974,-0.017959547635821804,0.038300980833293384,0.000832854444118233,0.23139848391473072,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
30,20,0.75,0.01585368674417046,0.004049038195786725,-0.01879586077213142,0.0446752298660759,0.0005284562248056821,0.1412525294129694,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
3,14,0.7142857142857143,0.009850250374168732,0.011481000136203456,-0.007517415039870872,0.016439954219291373,0.0032834167913895775,1.278169897145796,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
5,14,0.7142857142857143,0.009798240425640916,0.010255017138050104,-0.00874837080420206,0.020070992365743025,0.001959648085128183,0.6346482878457103,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
10,14,0.6428571428571429,0.0072006622483391436,0.016146339956540134,-0.018949082551074834,0.030773497930860434,0.0007200662248339144,0.19818331294684133,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
15,14,0.6428571428571429,0.011773506716796136,0.02598622449600907,-0.023846284820442924,0.03900625980307683,0.000784900447786409,0.21730524747328284,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
20,14,0.5714285714285714,0.007368310818883538,0.021565975186285335,-0.029617815331741428,0.04653797848998953,0.0003684155409441769,0.09691352287985455,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
30,14,0.35714285714285715,0.005032590820912548,-0.020598461223473363,-0.03768831493513981,0.054668513523489275,0.0001677530273637516,0.04306943393304041,ret5_moderate,ma20_gap_moderate,usd_up_oil_up,0.5
3,2,0.5,0.0439023697391685,0.0439023697391685,-0.004352219121889822,0.07105334414880371,0.0146341232463895,35.93432882454666,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
5,2,0.5,0.04327723735299077,0.04327723735299077,-0.004352219121889822,0.07105334414880371,0.008655447470598154,7.459534897797564,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
10,2,0.5,0.048813171003497025,0.048813171003497025,-0.010532201177915701,0.07128547111609218,0.004881317100349702,2.3234790176467897,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
15,2,1.0,0.10173935496183761,0.10173935496183761,-0.010532201177915701,0.11027966715126747,0.006782623664122508,4.092428019044108,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
20,2,1.0,0.09382831021046345,0.09382831021046345,-0.010532201177915701,0.11916806567437888,0.004691415510523172,2.0957038665721326,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
30,2,1.0,0.08191939990014596,0.08191939990014596,-0.010532201177915701,0.12172132064414143,0.002730646663338199,0.9374800033730275,ret5_shallow,ma20_gap_deep,usd_up_oil_down,0.5
3,2,0.0,-0.000457761589366279,-0.000457761589366279,-0.004202219419313258,0.011697023038105603,-0.00015258719645542632,-0.03773055301338957,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
5,2,1.0,0.02213958543009442,0.02213958543009442,-0.004202219419313258,0.02484345488963946,0.004427917086018885,2.0151885959871656,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
10,2,1.0,0.0382847860391381,0.0382847860391381,-0.004202219419313258,0.03990731809017556,0.0038284786039138098,1.577362806102947,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
15,2,1.0,0.0371199486828927,0.0371199486828927,-0.004202219419313258,0.04673179926793858,0.00247466324552618,0.8447053024087119,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
20,2,1.0,0.04223886081317174,0.04223886081317174,-0.004202219419313258,0.05256025198791481,0.002111943040658587,0.6841761139812959,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
30,2,1.0,0.06661943977380824,0.06661943977380824,-0.004202219419313258,0.07760868046409275,0.0022206479924602746,0.7190153526984695,ret5_shallow,ma20_gap_moderate,usd_down_oil_down,0.0
3,3,0.3333333333333333,-0.0009877535455080633,-0.006801088710326808,-0.009632250513283166,0.010217142689386746,-0.0003292511818360211,-0.07966017525965119,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
5,3,0.3333333333333333,0.002039137957847085,-0.0018846679630551977,-0.009632250513283166,0.010217142689386746,0.00040782759156941697,0.1081233530507566,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
10,3,1.0,0.023504854415274057,0.019049142546028408,-0.009632250513283166,0.029141705448202455,0.0023504854415274056,0.7958317775053481,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
15,3,1.0,0.035911191946412124,0.027752628360504294,-0.009632250513283166,0.04082411134808309,0.0023940794630941415,0.8089160964114552,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
20,3,1.0,0.04093531632301025,0.04211735773992675,-0.009632250513283166,0.05028429080008719,0.0020467658161505125,0.6578268367688174,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
