exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date
break_ma5,1,1,0.09104460635189149,0.08596210042168084,0.11838847165357236,2025-04-07
break_ma10,1,1,0.09104460635189149,0.08596210042168084,0.11838847165357236,2025-04-07
hold_10d,10,10,0.024565247719332328,-0.029503105590062084,0.04459630361995348,2025-05-12
hold_15d,15,15,0.04043476744468166,-0.029503105590062084,0.052795031055900665,2025-05-12
break_event_low,7,7,0.4129813059006211,-0.014316800621117953,0.5080123618012422,2025-05-12
break_ma5,1,1,-0.011801242236024856,-0.014316800621117953,0.0025155583850930974,2025-05-12
break_ma10,1,1,-0.011801242236024856,-0.014316800621117953,0.0025155583850930974,2025-05-12
hold_10d,10,10,0.059270929495993,0.008013827781269578,0.062476445263395686,2025-05-16
hold_15d,15,15,0.04717162088505655,0.008013827781269578,0.06851037083595224,2025-05-16
break_event_low,6,6,0.42985537554996855,0.2887491530483972,0.5260213089252042,2025-05-16
break_ma5,1,1,0.45270270270270263,0.38277812696417346,0.5260213089252042,2025-05-16
break_ma10,1,1,0.45270270270270263,0.38277812696417346,0.5260213089252042,2025-05-16
hold_10d,10,10,0.01890423249384443,-0.10274814188916681,0.047851435319773206,2026-03-20
hold_15d,15,15,0.037633468334312914,-0.10274814188916681,0.06139508656832304,2026-03-20
break_event_low,3,3,-0.0045072855294755465,-0.10274814182079217,-0.0040477859134958605,2026-03-20
break_ma5,1,1,-0.036386269888214806,-0.10274814182079217,-0.019691931180375932,2026-03-20
break_ma10,1,1,-0.036386269888214806,-0.10274814182079217,-0.019691931180375932,2026-03-20
