config_name,sample_count,terminal_capital,total_return,max_drawdown,win_rate,avg_trade_return,median_trade_return,avg_layers,avg_hold_trading_days,median_repair_days,repair_within_5d,repair_within_10d,cagr,first_entry_weight,allow_second_entry,second_entry_trigger_drawdown,second_entry_requires_parent_signal,second_entry_weight,allow_third_entry,third_entry_trigger_drawdown,third_entry_requires_parent_signal,third_entry_weight,max_total_weight,max_hold_days,rebound_check_day,return_drawdown_ratio
f0.50_s1_-0.03_1_0.30_t0_0.00_0_0.00_h20_r5,57,1787305.3776443638,0.7873053776443637,-0.13516192509365654,0.6666666666666666,0.010448449606513505,0.004135307379350528,1.3859649122807018,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.0579369788774009,0.5,True,-0.03,True,0.3,False,0.0,False,0.0,1.0,20,5,5.824905032233177
f0.50_s1_-0.03_0_0.40_t0_0.00_0_0.00_h20_r7,55,1857444.7009953205,0.8574447009953206,-0.14763722228073917,0.6727272727272727,0.011607248142616615,0.007167316677744818,1.4181818181818182,17.69090909090909,1.0,0.9636363636363636,0.9818181818181818,0.06189390604780831,0.5,True,-0.03,False,0.4,False,0.0,False,0.0,1.0,20,7,5.80778131523532
f0.50_s1_-0.05_1_0.25_t0_0.00_0_0.00_h20_r7,56,1694134.2170595413,0.6941342170595413,-0.1199060998212218,0.6428571428571429,0.009669965342838522,0.006496721629880131,1.2857142857142858,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.05245800744465612,0.5,True,-0.05,True,0.25,False,0.0,False,0.0,1.0,20,7,5.788981695630873
f0.50_s1_-0.05_0_0.25_t0_0.00_0_0.00_h20_r7,56,1690736.3294900877,0.6907363294900877,-0.11990609982122169,0.6428571428571429,0.009633090939175045,0.005471088653637879,1.3035714285714286,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.052253094456674365,0.5,True,-0.05,False,0.25,False,0.0,False,0.0,1.0,20,7,5.7606437914331785
f0.50_s1_-0.04_0_0.35_t0_0.00_0_0.00_h20_r7,56,1810355.8615068789,0.8103558615068789,-0.14142382948170673,0.6607142857142857,0.010924912856203608,0.007352967696314749,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.0592526135951823,0.5,True,-0.04,False,0.35,False,0.0,False,0.0,1.0,20,7,5.729981039805594
f0.50_s1_-0.03_0_0.30_t0_0.00_0_0.00_h20_r5,57,1774376.9072785361,0.774376907278536,-0.13516192509365654,0.6491228070175439,0.010320049349532866,0.004135307379350528,1.4035087719298245,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.057192348595791254,0.5,True,-0.03,False,0.3,False,0.0,False,0.0,1.0,20,5,5.729253314067212
f0.50_s1_-0.05_0_0.35_t0_0.00_0_0.00_h15_r5,61,1768184.4848782883,0.7681844848782884,-0.13502355693264334,0.6721311475409836,0.009604341598398122,0.006708168866833786,1.2950819672131149,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.05683395196288088,0.5,True,-0.05,False,0.35,False,0.0,False,0.0,1.0,15,5,5.689262691113211
f0.50_s1_-0.04_0_0.25_t0_0.00_0_0.00_h20_r5,57,1732087.1361932817,0.7320871361932817,-0.12884884963531074,0.6491228070175439,0.009877048283027018,0.004135307379350528,1.3333333333333333,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.05472191606705801,0.5,True,-0.04,False,0.25,False,0.0,False,0.0,1.0,20,5,5.68175143406678
f0.50_s1_-0.05_1_0.30_t0_0.00_0_0.00_h15_r5,63,1718893.087462373,0.7188930874623731,-0.1272494483291342,0.6507936507936508,0.008820013982988258,0.005418498536790661,1.253968253968254,13.142857142857142,1.0,0.9682539682539683,0.9682539682539683,0.05394001001455506,0.5,True,-0.05,True,0.3,False,0.0,False,0.0,1.0,15,5,5.649479010729668
f0.50_s1_-0.03_0_0.30_t0_0.00_0_0.00_h20_r7,56,1760634.0666776728,0.7606340666776727,-0.13516192509365654,0.6607142857142857,0.010384093896077683,0.004542332387425208,1.4285714285714286,17.517857142857142,1.0,0.9642857142857143,0.9821428571428571,0.0563954223927583,0.5,True,-0.03,False,0.3,False,0.0,False,0.0,1.0,20,7,5.627576450621086
f0.50_s1_-0.03_1_0.35_t0_0.00_0_0.00_h20_r7,56,1792369.3263637777,0.7923693263637777,-0.14142382948170673,0.6785714285714286,0.0107345028738459,0.005195935982579297,1.4107142857142858,17.285714285714285,1.0,0.9464285714285714,0.9821428571428571,0.058227317836214265,0.5,True,-0.03,True,0.35,False,0.0,False,0.0,1.0,20,7,5.6027992543241885
f0.50_s1_-0.04_1_0.35_t0_0.00_0_0.00_h20_r7,56,1791157.4219723593,0.7911574219723594,-0.14142382948170684,0.6428571428571429,0.010734238284839184,0.007352967696314749,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.05815790139357402,0.5,True,-0.04,True,0.35,False,0.0,False,0.0,1.0,20,7,5.594229946055134
f0.50_s1_-0.04_1_0.25_t0_0.00_0_0.00_h20_r5,57,1718978.329332111,0.718978329332111,-0.12884884963531085,0.631578947368421,0.00974379452077572,0.004135307379350528,1.3333333333333333,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.05394507898989831,0.5,True,-0.04,True,0.25,False,0.0,False,0.0,1.0,20,5,5.580013569132215
f0.50_s1_-0.03_1_0.25_t0_0.00_0_0.00_h20_r5,57,1716033.0613650675,0.7160330613650674,-0.12884884963531062,0.6666666666666666,0.009710850802614636,0.003803584245748781,1.3859649122807018,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.05376980458182712,0.5,True,-0.03,True,0.25,False,0.0,False,0.0,1.0,20,5,5.557155251224228
f0.50_s1_-0.03_1_0.40_t0_0.00_0_0.00_h20_r7,55,1810563.4723958988,0.8105634723958988,-0.14763722228073906,0.6727272727272727,0.011141708759537771,0.006254522469501866,1.4,17.454545454545453,1.0,0.9454545454545454,0.9818181818181818,0.05926439435068409,0.5,True,-0.03,True,0.4,False,0.0,False,0.0,1.0,20,7,5.490237894442193
f0.50_s1_-0.03_0_0.25_t0_0.00_0_0.00_h20_r5,57,1705702.1142102573,0.7057021142102573,-0.12884884963531051,0.6491228070175439,0.009604275102783883,0.003803584245748781,1.4035087719298245,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.05315284948758481,0.5,True,-0.03,False,0.25,False,0.0,False,0.0,1.0,20,5,5.476976443388148
f0.50_s1_-0.05_0_0.30_t0_0.00_0_0.00_h15_r5,61,1691219.2846863365,0.6912192846863365,-0.1272494483291342,0.6721311475409836,0.008848170587837677,0.006708168866833786,1.2950819672131149,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.05228224220921285,0.5,True,-0.05,False,0.3,False,0.0,False,0.0,1.0,15,5,5.432002211109621
f0.50_s1_-0.04_0_0.30_t0_0.00_0_0.00_h20_r7,56,1730470.188140775,0.7304701881407751,-0.13516192509365665,0.6428571428571429,0.010083337820264987,0.006097675150108906,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.05462638220550309,0.5,True,-0.04,False,0.3,False,0.0,False,0.0,1.0,20,7,5.404407991633859
f0.50_s1_-0.04_1_0.40_t0_0.00_0_0.00_h15_r5,61,1795827.8492206724,0.7958278492206723,-0.14863282933941024,0.6721311475409836,0.009883930150489642,0.006708168866833786,1.3278688524590163,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.05842518510394967,0.5,True,-0.04,True,0.4,False,0.0,False,0.0,1.0,15,5,5.3543207968097075
f0.50_s1_-0.05_1_0.25_t0_0.00_0_0.00_h15_r5,63,1642396.453209,0.6423964532089999,-0.12077522917958905,0.6507936507936508,0.008074156932384483,0.005418498536790661,1.253968253968254,13.142857142857142,1.0,0.9682539682539683,0.9682539682539683,0.049296901895206746,0.5,True,-0.05,True,0.25,False,0.0,False,0.0,1.0,15,5,5.318942117292744
