exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date,config_key
hold_10d,10,10,-0.012077942833822686,-0.02388748693800491,0.011648478655584382,2023-02-03,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.024639016486405096,-0.02904072944169589,0.011648478655584382,2023-02-03,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.01779013612717495,-0.025613507667169633,0.009859621099286953,2023-02-06,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.019987100918307354,-0.031132770928138598,0.009859621099286953,2023-02-06,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.03075763789818231,-0.03075763789818231,-0.0014467641423844269,2023-02-09,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.009913192843233665,-0.031132770928138598,-0.0014467641423844269,2023-02-09,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.011955482385776817,-0.002260651805172764,0.023389292222493863,2024-06-13,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.023910964771553633,-0.002260651805172764,0.03838798830646839,2024-06-13,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.0021446452822337925,-0.021829044525839225,0.03802851205766933,2024-11-11,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.012829350730098499,-0.021829044525839225,0.03802851205766933,2024-11-11,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.0078077110877403655,-0.01761540339543266,0.04249999999999998,2024-11-12,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02069232647235575,-0.01761540339543266,0.04249999999999998,2024-11-12,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.02289981881489056,-0.010306919231626854,0.050255714785331085,2024-11-13,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.017746453797891748,-0.010306919231626854,0.050255714785331085,2024-11-13,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.034576766029298156,-0.0009734444542992549,0.055408477351303276,2024-11-14,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02741225287082938,-0.0009734444542992549,0.055408477351303276,2024-11-14,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.026971178426482778,0.009237226340925053,0.056436859953942875,2024-11-15,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.038663894087290096,0.009237226340925053,0.056436859953942875,2024-11-15,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.017822680364988353,0.0018517278445109309,0.027351341647978478,2024-12-19,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.03136334015876008,0.0018517278445109309,0.04934038611741909,2024-12-19,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.1523057610419798,0.004913089065870402,0.18103887777871996,2025-04-07,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.1245213952901616,0.004913089065870402,0.18103887777871996,2025-04-07,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.10372596571010106,-0.0008758434177188468,0.17423534979371746,2025-04-08,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.11339445786616609,-0.0008758434177188468,0.17423534979371746,2025-04-08,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.024565247719332328,-0.029503105590062084,0.04459630361995348,2025-05-12,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.04043476744468166,-0.029503105590062084,0.052795031055900665,2025-05-12,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.059270929495993,0.008013827781269578,0.062476445263395686,2025-05-16,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.04717162088505655,0.008013827781269578,0.06851037083595224,2025-05-16,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.02513976542006069,-0.0035739228843152393,0.02941627218879761,2025-06-27,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02422337111247419,-0.0035739228843152393,0.0310963284193726,2025-06-27,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.035449512189642096,-0.013236851557241303,0.04384553190087992,2025-10-28,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.023977635728665403,-0.013236851557241303,0.06618431934150593,2025-10-28,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.026467818737569315,-0.013761249937235931,0.06190051910077621,2025-10-31,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02373060146620487,-0.013761249937235931,0.06190051910077621,2025-10-31,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.07066584729929015,-0.180004038254849,-0.010277924883773215,2026-03-17,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.050289942011597644,-0.180004038254849,-0.010277924883773215,2026-03-17,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.01890423249384443,-0.10274814188916681,0.047851435319773206,2026-03-20,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.037633468334312914,-0.10274814188916681,0.06139508656832304,2026-03-20,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.030166346439322478,-0.00877127061894023,0.031805825052301895,2016-03-28,ret-0.025_ma-0.020_risk0
