config_key,ret_threshold,ma20_threshold,use_risk_filter,event_count,exit_rule,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,positive_year_ratio
ret-0.020_ma-0.025_risk0,-0.02,-0.025,False,121,hold_10d,121,11,11.0,0.7603305785123967,0.020106679821917866,0.018279204975802932,-0.017838769461479803,0.03747729819328197,0.0020106679821917865,0.6514632104846769,1.0
ret-0.020_ma-0.025_risk0,-0.02,-0.025,False,121,hold_15d,121,11,11.0,0.8016528925619835,0.029270874967900987,0.025316403968823842,-0.0199700945805447,0.04722856690115531,0.0019513916645267325,0.6236734461851563,1.0
ret-0.025_ma-0.010_risk1,-0.025,-0.01,True,84,hold_10d,84,10,8.4,0.7023809523809523,0.01564105368084334,0.01720886154591139,-0.018812097123366612,0.037449891243863935,0.001564105368084334,0.47861202444703377,0.7
ret-0.025_ma-0.010_risk1,-0.025,-0.01,True,84,hold_15d,84,10,8.4,0.7023809523809523,0.019974116307127723,0.02069232647235575,-0.022116027365112336,0.04518203125492022,0.0013316077538085148,0.3941122231631713,0.8
ret-0.025_ma-0.010_risk0,-0.025,-0.01,False,170,hold_10d,170,11,15.454545454545455,0.6941176470588235,0.014602573608887183,0.01329666637499538,-0.01904008325330621,0.03378295287904804,0.0014602573608887182,0.44098075929162883,0.9090909090909091
ret-0.025_ma-0.010_risk0,-0.025,-0.01,False,170,hold_15d,170,11,15.454545454545455,0.7411764705882353,0.021350472731047076,0.01809590451128429,-0.021760768130994423,0.04194876714849696,0.0014233648487364718,0.4260558789105946,1.0
ret-0.025_ma-0.015_risk1,-0.025,-0.015,True,73,hold_10d,73,10,7.3,0.726027397260274,0.01659872506813647,0.017822680364988353,-0.0192635476529971,0.038818335810172695,0.001659872506813647,0.5141501012753276,0.7
ret-0.025_ma-0.015_risk1,-0.025,-0.015,True,73,hold_15d,73,10,7.3,0.7123287671232876,0.02092088219006141,0.02290310276564167,-0.022616012248205364,0.046365315882011385,0.0013947254793374273,0.4160124212020837,0.8
ret-0.025_ma-0.015_risk0,-0.025,-0.015,False,155,hold_10d,155,11,14.090909090909092,0.7096774193548387,0.01541762263335148,0.01418676489284576,-0.019276310127490648,0.03431453842235357,0.0015417622633351479,0.4704367482000702,0.9090909090909091
ret-0.025_ma-0.015_risk0,-0.025,-0.015,False,155,hold_15d,155,11,14.090909090909092,0.7548387096774194,0.022084331492211316,0.018761070685382686,-0.022023495676244075,0.042421037538862505,0.001472288766147421,0.44336800621937567,1.0
ret-0.025_ma-0.020_risk1,-0.025,-0.02,True,57,hold_10d,57,10,5.7,0.7543859649122807,0.018842643541897994,0.01890423249384443,-0.019963594099565423,0.04045580691512937,0.0018842643541897995,0.6006606673054902,0.7
ret-0.025_ma-0.020_risk1,-0.025,-0.02,True,57,hold_15d,57,10,5.7,0.7894736842105263,0.02595155772100601,0.023977635728665403,-0.022369154059747223,0.04820192563040459,0.0017301038480670673,0.5379108734201477,0.7
ret-0.025_ma-0.020_risk0,-0.025,-0.02,False,132,hold_10d,132,11,12.0,0.7424242424242424,0.016976917322339028,0.016236820162176646,-0.019814407749225427,0.03552882815759262,0.0016976917322339027,0.528409089174041,0.9090909090909091
ret-0.025_ma-0.020_risk0,-0.025,-0.02,False,132,hold_15d,132,11,12.0,0.7954545454545454,0.02510806910707506,0.021763715629136815,-0.022189486972616124,0.043999078008786933,0.001673871273805004,0.5168064079680992,1.0
ret-0.025_ma-0.025_risk1,-0.025,-0.025,True,34,hold_10d,34,8,4.25,0.8529411764705882,0.02614941504136804,0.022839483718143705,-0.017625439981096242,0.04787937672008957,0.002614941504136804,0.9164926946143563,0.875
ret-0.025_ma-0.025_risk1,-0.025,-0.025,True,34,hold_15d,34,8,4.25,0.8529411764705882,0.035399177009615486,0.03355174828830354,-0.019377123474012783,0.056989664868006516,0.002359945133974366,0.793953986272488,0.875
ret-0.025_ma-0.025_risk0,-0.025,-0.025,False,99,hold_10d,99,11,9.0,0.7676767676767676,0.019988828814899346,0.018279204975802932,-0.01925583432055835,0.03863358756637147,0.0019988828814899344,0.646662006336199,1.0
ret-0.025_ma-0.025_risk0,-0.025,-0.025,False,99,hold_15d,99,11,9.0,0.8080808080808081,0.028924879559433417,0.023200785266243695,-0.02151550651689194,0.04787268905311645,0.0019283253039622278,0.6145281941846721,1.0
ret-0.030_ma-0.010_risk1,-0.03,-0.01,True,55,hold_10d,55,10,5.5,0.7818181818181819,0.0208454990969435,0.017940717628705194,-0.018981525446761002,0.044334961676545,0.00208454990969435,0.6818701457540461,0.6
ret-0.030_ma-0.010_risk1,-0.03,-0.01,True,55,hold_15d,55,10,5.5,0.7454545454545455,0.024843057539509213,0.02290310276564167,-0.022531293839602565,0.05143452736632201,0.0016562038359672808,0.5102321328288653,0.7
ret-0.030_ma-0.010_risk0,-0.03,-0.01,False,115,hold_10d,115,10,11.5,0.7304347826086957,0.016786549934400853,0.01418676489284576,-0.02017941140672917,0.03707967848353925,0.0016786549934400853,0.5212156223691347,0.8
ret-0.030_ma-0.010_risk0,-0.03,-0.01,False,115,hold_15d,115,10,11.5,0.7565217391304347,0.024775220959690543,0.02069232647235575,-0.022931076003267777,0.045054642204925235,0.0016516813973127028,0.5085535897851541,0.9
ret-0.030_ma-0.015_risk1,-0.03,-0.015,True,52,hold_10d,52,10,5.2,0.7692307692307693,0.020813929246753203,0.017881698996846773,-0.019683001154052606,0.044845002536759125,0.0020813929246753203,0.6805599294397262,0.6
ret-0.030_ma-0.015_risk1,-0.03,-0.015,True,52,hold_15d,52,10,5.2,0.7307692307692307,0.025044815613956127,0.02331685211592327,-0.02306952351221198,0.051792404265591147,0.0016696543742637418,0.5152348058384313,0.7
ret-0.030_ma-0.015_risk0,-0.03,-0.015,False,110,hold_10d,110,10,11.0,0.7363636363636363,0.01743344904914251,0.014635291630007319,-0.020367431710530303,0.03749007774618685,0.001743344904914251,0.5457935334233892,0.8
ret-0.030_ma-0.015_risk0,-0.03,-0.015,False,110,hold_15d,110,10,11.0,0.7636363636363637,0.025499213756408158,0.021763715629136815,-0.023029410255640346,0.04556198324546791,0.0016999475837605439,0.5265589265868562,0.9
ret-0.030_ma-0.020_risk1,-0.03,-0.02,True,42,hold_10d,42,10,4.2,0.7619047619047619,0.021584990191388556,0.018422475061274812,-0.021086151701713542,0.04538740724227071,0.002158499019138856,0.7128427139228242,0.6
ret-0.030_ma-0.020_risk1,-0.03,-0.02,True,42,hold_15d,42,10,4.2,0.7857142857142857,0.02935104235901612,0.026169432823950234,-0.023635772905830684,0.05307015006992036,0.0019567361572677415,0.6257993483963402,0.6
ret-0.030_ma-0.020_risk0,-0.03,-0.02,False,96,hold_10d,96,10,9.6,0.75,0.01822912329157535,0.015737808414243548,-0.021115636317528042,0.038072423564106284,0.001822912329157535,0.5765471584456321,0.8
ret-0.030_ma-0.020_risk0,-0.03,-0.02,False,96,hold_15d,96,10,9.6,0.7916666666666666,0.028388638080865464,0.024462823676988932,-0.023398055724417315,0.04682740284514384,0.0018925758720576976,0.6004500800324055,0.9
ret-0.030_ma-0.025_risk1,-0.03,-0.025,True,29,hold_10d,29,8,3.625,0.8275862068965517,0.02594426671091632,0.02289981881489056,-0.017377620086247058,0.05001602580384828,0.002594426671091632,0.9068607301303835,0.75
ret-0.030_ma-0.025_risk1,-0.03,-0.025,True,29,hold_15d,29,8,3.625,0.8275862068965517,0.036458939173129666,0.034944419539142624,-0.019431317974494038,0.059172587591712324,0.002430595944875311,0.8250522657409352,0.75
ret-0.030_ma-0.025_risk0,-0.03,-0.025,False,78,hold_10d,78,10,7.8,0.7692307692307693,0.019910325259048907,0.016268007538819185,-0.02029322457203746,0.03959528760695113,0.0019910325259048906,0.64347124351593,0.8
ret-0.030_ma-0.025_risk0,-0.03,-0.025,False,78,hold_15d,78,10,7.8,0.7948717948717948,0.031311270521910864,0.026260742682998273,-0.02239672980238162,0.049304973013103534,0.0020874180347940576,0.6786031486980277,0.9
