trade_date,year,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,label,ret_3d,ret_5d,ret_10d,close_vs_ma10,close_vs_ma20,pullback_depth_from_high,volume_ratio_1d_vs_20d,avg_volume_5d,avg_volume_20d,usd_ret_lb,oil_ret_lb,high_volatility_shock_flag,downtrend_break_flag
2018-08-17,2018,0.014024649383765464,0.006714852880631117,0.03442413939651501,1,-0.013830678960603526,-0.02856904985833053,-0.031049211569716517,-0.016986533425962236,-0.027010484654253597,-0.04458341994932602,0.004081859843776092,86.0,16169.1,-0.0026982371791572923,-0.013459631374804104,0,1
2018-11-12,2018,0.03313071267801715,-0.0041621574933569105,0.03338048277368766,1,-0.020306559562290993,-0.023174498998562942,-0.01894646890312368,-0.016311533044447657,-0.018686023771768978,-0.030114587028121975,0.016168148746968473,4.4,61.85,0.012350829893639004,-0.04168368865229455,0,0
2018-11-13,2018,0.032438313874219915,0.0072548979289781546,0.03769185714026868,1,-0.01938022141551854,-0.0201014027412455,-0.019139559039208942,-0.01614602392527209,-0.0192759521505782,-0.031810128524686676,0.12254901960784315,4.6,40.8,0.010174453488772661,-0.09233323563448836,0,0
2019-03-01,2019,0.011724738418409819,-0.011879068284515681,0.011724738418409819,1,-0.021658706286810103,-0.024676442945167687,-0.010230587810751368,-0.0202613139214467,-0.01589938610404429,-0.03541664850144155,0.2716384738856649,395.8,404.95,0.00020719762329068914,-0.030542356493902356,0,0
2019-03-04,2019,0.028876069564113704,-0.0029576966716269304,0.02965440079231696,1,-0.024967673645651334,-0.030997793822426623,-0.025263581954782732,-0.026578140380118964,-0.023515248875819683,-0.04404758271716891,0.07725203476341565,364.4,362.45,0.0028005044374095345,0.014051822154059757,0,0
2019-03-05,2019,0.025195045887772993,-0.0007800312012480326,0.03190329517477575,1,-0.0234613404041375,-0.03252582928082792,-0.043354956081193996,-0.024405098012640458,-0.024445924093978832,-0.04613095238095233,0.34090909090909094,199.4,334.4,0.008854150772094727,0.00996781988965978,0,0
2019-03-06,2019,0.019456766693891625,-0.0030352746049958634,0.02957428537471518,1,-0.008870718746860295,-0.024891802362626225,-0.04347504078854891,-0.017833240624105517,-0.02114788229290221,-0.04397319612048922,0.04416403785488959,81.4,317.0,0.007488312108963724,-0.006025026804583389,0,0
2019-03-07,2019,0.004673624997504122,0.0030377801802623505,0.030456437216705767,1,-0.0007783312282032551,-0.022090188087581897,-0.029996185245088736,-0.015687026194398657,-0.021027514743722442,-0.04479163033621647,0.03670949441014517,55.4,299.65,0.015702937285046348,0.004089115212063232,0,0
2019-04-16,2019,0.005343429953308165,-0.005186213824103447,0.00966529079372469,1,-0.012416576364379206,-0.02370542724515723,-0.013488391018653068,-0.014832493658937018,-0.018929911386413978,-0.03802256247625657,0.04293507655531146,451.8,14976.1,0.0003092338793555527,0.015720161460936577,0,0
2019-04-17,2019,0.008882289940127741,-0.0048734093773262765,0.010061349881623771,1,-0.014256953945554485,-0.028187323430012623,-0.013722050474592185,-0.013790834965523913,-0.018167264439762243,-0.038324946939693016,0.020545112531184545,500.2,14991.4,0.0006189292406095781,-0.0015335369469340332,0,1
2019-09-10,2019,-0.005569381034813525,-0.021472186104511404,0.028651915569251507,0,-0.016563267244002144,-0.03596608752691588,-0.02358645013976146,-0.021772636373953103,-0.017752658466863913,-0.040496976771273174,0.04464285714285714,63.4,515.2,-0.006265741650419709,0.07071752257602215,0,0
2019-09-30,2019,0.0113939235849978,-0.005048715692344441,0.03581906375723398,1,-0.02585406423319503,-0.03806523715866261,-0.024881927364467704,-0.02617768715742841,-0.027676456515404735,-0.05633530952275789,1.2198709969446644,3426.6,883.7,0.007910738249165439,-0.061602564004404003,0,1
2019-11-07,2019,0.0009561702368190428,-0.011678716129072009,0.007034591703053428,1,-0.029045125217589507,-0.03122937176111662,-0.023150358714385977,-0.019441105286055804,-0.017503390581511735,-0.033084656964134096,2.5747839574562374,303.0,225.65,0.00811505832470405,0.03420224786564119,1,1
2019-11-08,2019,0.0006843221560157708,-0.009717424736675473,0.009033019045240342,1,-0.013168557102244738,-0.03096813738187998,-0.025475125823191114,-0.018873210718704625,-0.018744739730939375,-0.034999668685882446,0.09381282108554836,260.2,223.85,0.011415062060230019,0.013292263139542237,0,1
2019-11-11,2019,0.015595981567760209,-0.005771229415364121,0.017107539961568108,1,-0.02328543303506847,-0.03481432360742709,-0.023154362416107355,-0.02049853132563395,-0.021450108615663543,-0.0388298533527941,0.10734325445230544,244.4,204.95,0.007076143953393954,0.0008047519105258694,0,1
2020-02-28,2020,-0.051211544553557586,-0.07160667588275038,0.08790998155248375,0,-0.050276305544159405,-0.04894807320626371,-0.006983683683893127,-0.035387434534517204,-0.019360755139027463,-0.07263133035291469,0.5395817774458551,766.0,535.6,-0.011384292348307734,-0.13641024858523643,0,0
2020-03-12,2020,0.02290310276564167,-0.08632735734410402,0.060529760407928235,1,-0.05088083079837269,-0.046267387455810494,-0.030914604373094567,-0.02742163053265112,-0.023978304575079434,-0.06599666688355621,0.711308696860239,137.4,359.9,0.006713504729680908,-0.3354670913121284,0,0
2020-03-13,2020,0.07785182015000225,-0.04196079543102493,0.11202748188837952,1,-0.08643241909723887,-0.09282983787619292,-0.030944329115490832,-0.0697060988306426,-0.0674767661789587,-0.10925013345163503,0.24677665326493833,120.2,360.65,0.02918189828883677,-0.25226423388922414,0,0
2020-03-16,2020,0.12860890534091918,-0.011171663848974944,0.14186683040195636,1,-0.09473619939509226,-0.11263062143083757,-0.0668215921316897,-0.08200143335311494,-0.08308057459036478,-0.1267630196677687,0.5260288907059144,126.6,366.9,0.03361427566617925,-0.12543659187225253,1,0
2020-03-17,2020,0.09174373544116032,-0.03534659554797592,0.13082824893825884,1,-0.040520998197632996,-0.0808871997749745,-0.07137199495423874,-0.05103582954438379,-0.05682899354968818,-0.1038434142613508,0.3412587412587413,141.4,357.5,0.032880386355499835,-0.22810320795326433,0,0
2020-03-18,2020,0.12732685938455668,-0.004264569566028609,0.16726458229115382,1,-0.025334765178332885,-0.09997561419832257,-0.09981105916434463,-0.07119008572305541,-0.08257618777676279,-0.1318170721532691,0.9595159198962685,198.6,347.05,0.048181550336255485,-0.304833793676364,0,0
2020-03-19,2020,0.17421884203931226,0.003313962190565345,0.17421884203931226,1,-0.004912880212788018,-0.06965335043172782,-0.11269805933551824,-0.059265173149446126,-0.07781736665169603,-0.13105312834951766,0.7394863110358453,199.8,354.3,0.05427311838797566,-0.14298620508142457,0,0
2020-03-20,2020,0.17574127279523255,0.004177864671074838,0.18382752616450482,1,-0.026821446494355028,-0.020914397435565002,-0.11180275518853611,-0.04447320919114217,-0.06979077058718841,-0.127879630176304,0.0404975412207116,184.8,345.7,0.041215186783030155,-0.20295418734322834,0,0
2020-06-05,2020,0.05745140892099365,-0.00017893256565415516,0.06377522224560739,1,-0.02840250486137319,-0.034947361614934946,-0.02574835735433012,-0.022954374337356476,-0.02597198661575184,-0.05326181803339447,0.17345813388150108,1335.2,8659.15,-0.014236261425860541,0.1972826788783042,0,0
2020-08-24,2020,0.014836384489641974,-0.012761309440809443,0.030398972423393067,1,-0.015826824308364795,-0.028866523339105776,-0.04776727527958613,-0.011456195346955411,-0.021173983372522187,-0.06558412449254725,0.00678818855191966,162.8,12521.75,0.004846576036962924,-0.005289792140613647,0,0
2020-08-25,2020,0.025316403968823842,-0.004550723412482638,0.03896851035528859,1,-0.011376563990331823,-0.043813131197499744,-0.010762665331974008,-0.01856298321104577,-0.028435933328022855,-0.07329129964705527,0.014092062805761732,179.6,12489.3,0.008128319359339109,0.00879897786921724,0,0
2020-09-21,2020,0.011203476422875003,-0.0261413593773977,0.014674955360095332,1,-0.030098970242667167,-0.026573152968522362,-0.011798987969294794,-0.021644059208103528,-0.020522574028964513,-0.04284352593479379,0.15938697318007664,71.0,326.25,0.005049975526423722,0.0462004036394581,0,1
2020-09-22,2020,-0.005319696468878643,-0.024807740541238354,0.01606446876235057,0,-0.021340218770135255,-0.029494490518850336,-0.017796184383891633,-0.021249398236623862,-0.02112829131566274,-0.04415248003136718,0.9776990104858957,122.4,338.55,0.010102039561340481,0.029361028306127634,0,1
2020-09-23,2020,0.0222592740849632,-0.004516384915210114,0.03720627467257298,1,-0.0472311625044719,-0.05116821204788302,-0.04360566096929874,-0.036989844450765474,-0.03979636472169612,-0.06363591668269653,0.015151515151515152,98.6,330.0,0.01265958927975519,-0.01065847347059734,0,1
2020-09-24,2020,0.01868003074005209,-0.006422951178279401,0.03254291343403248,1,-0.017304809167216217,-0.03695873771746139,-0.0439565574097156,-0.028318788803471606,-0.033653728982835474,-0.0594069360616577,1.0931416591793952,158.2,333.9,0.014843468164983387,-0.03140879063082147,0,1
2020-09-25,2020,0.023200785266243695,0.007913050346432193,0.03843463761143018,1,-0.02154220211734703,-0.04835819148336784,-0.04133558449680608,-0.029789965924051143,-0.03754593546386531,-0.0647435404998965,0.018269011189769355,151.4,218.95,0.017755316049288927,-0.02850529115731104,0,1
2020-11-23,2020,0.007889868111194076,-0.04108172706173485,0.02067689573968101,1,-0.019055218132839613,-0.026227944004312387,-0.008309897879077655,-0.01780748769507734,-0.02456109824283803,-0.06387525746875466,2.0404211545443545,602.6,413.15,-0.000648131779102723,0.05111824952229238,1,1
2020-11-24,2020,0.02842416077676968,-0.02354831496574683,0.039339537942777,1,-0.030250887913792712,-0.042292359337689045,-0.037645288827377166,-0.031790794721244464,-0.03942516195695567,-0.08068454884037557,2.280893952673094,799.0,456.4,-0.0020557759768010664,0.09394287109374999,1,1
2020-11-25,2020,0.04513485197089784,-0.024034946844620597,0.05011906875296024,1,-0.035725742436330754,-0.036188977223445384,-0.029558768981189476,-0.028441398962721576,-0.037139759953142004,-0.08022616336455435,19.175135714452132,41919.4,10730.25,-0.0035745432424778567,0.09630131806651465,1,1
2020-11-27,2020,0.05825238528291998,-0.010999481069305483,0.06414497176708744,1,-0.030416815175136835,-0.04255545226523372,-0.04843530511287919,-0.03654519783190069,-0.047705561995267654,-0.09234919074320003,5.01829338607606,56268.4,14308.45,-0.0054177050063922705,0.0900452369578566,1,1
2020-11-30,2020,0.05828687438533464,-0.00045048531835834016,0.07450585823399591,1,-0.01612372388572625,-0.0517462488931959,-0.05833377676636209,-0.03415305559788184,-0.0484331045113523,-0.09550733733875516,0.21795702538904807,56517.4,14429.45,-0.005628278455478197,0.05849646622932281,0,1
2021-01-08,2021,0.014557588788832287,-0.017501758908034737,0.02284500570950443,1,-0.06073640526019475,-0.031165813090108352,-0.02165678596223275,-0.033239162881637196,-0.023778795512458095,-0.06418697242770566,0.2161772653575932,156.0,277.55,0.001778919594972006,0.08088807921079066,0,0
2021-01-11,2021,-0.010326544030087814,-0.025735281257699083,0.014273369789431944,0,-0.030048795476696144,-0.04890213296330381,-0.016117904375031356,-0.023509476826818698,-0.015947757549194752,-0.05627840576261056,0.07415647015202077,129.2,269.7,0.007343165134378937,0.0894499839728955,0,0
