config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day
p0.50_thr0.005_win18_dd0.010_off0_unmet30,60,2041095.6722683392,1.041095672268339,-0.14271275123632376,7.2950431075661,0.07164876446121227,0.7,0.012179951296117441,0.01019777905185909,18.9,21.0,1134.0,0.0006444418675194413,0.5,0.005,18,0.01,0,30
p0.50_thr0.005_win18_dd0.010_off0_unmet45,58,2069582.1340074812,1.0695821340074811,-0.14271275123632376,7.494650090770917,0.07309027002532953,0.6724137931034483,0.012844445346723484,0.013205828508953372,20.879310344827587,21.0,1211.0,0.0006151757474070703,0.5,0.005,18,0.01,0,45
p0.50_thr0.005_win18_dd0.010_off0_unmet60,58,2097100.2676701015,1.0971002676701014,-0.14271275123632388,7.687471919403811,0.07446586083351403,0.6896551724137931,0.01307771813834432,0.013205828508953372,21.810344827586206,21.0,1265.0,0.0005996107921138107,0.5,0.005,18,0.01,0,60
p0.50_thr0.005_win18_dd0.010_off2_unmet20,60,2105999.6769099347,1.105999676909935,-0.14271275123632388,7.74983081279447,0.07490724202513777,0.7333333333333333,0.012709669721940023,0.008794947673114756,16.883333333333333,21.0,1013.0,0.0007527938630961515,0.5,0.005,18,0.01,2,20
p0.50_thr0.005_win18_dd0.010_off2_unmet30,60,2106980.7437386024,1.1069807437386023,-0.14271275123632376,7.756705228851685,0.07495579656702511,0.7333333333333333,0.01271532072527034,0.01127354349964041,19.866666666666667,22.0,1192.0,0.0006400329224129366,0.5,0.005,18,0.01,2,30
p0.50_thr0.005_win18_dd0.010_off2_unmet45,57,2099478.199206061,1.0994781992060614,-0.14271275123632376,7.704134281493819,0.07458396369987219,0.7017543859649122,0.01332215999793969,0.013875487703593092,21.92982456140351,22.0,1250.0,0.0006074904959060499,0.5,0.005,18,0.01,2,45
p0.50_thr0.005_win18_dd0.010_off2_unmet60,57,2137036.1131656114,1.1370361131656113,-0.14271275123632376,7.967305677421547,0.07643347886503027,0.7192982456140351,0.01364030697509674,0.013875487703593092,22.75438596491228,22.0,1297.0,0.0005994583635933032,0.5,0.005,18,0.01,2,60
p0.50_thr0.005_win18_dd0.012_off0_unmet20,62,2073003.8602862374,1.0730038602862373,-0.14271275123632376,7.518626408577935,0.07326221313804782,0.6935483870967742,0.012047499568022531,0.006330648133262052,16.080645161290324,21.0,997.0,0.0007491925508700069,0.5,0.005,18,0.012,0,20
p0.50_thr0.005_win18_dd0.012_off0_unmet30,60,2050485.0302323685,1.0504850302323687,-0.14271275123632376,7.3608351120134206,0.07212589209632547,0.7,0.012261935879617806,0.008255765342598309,19.7,21.5,1182.0,0.0006224332933816145,0.5,0.005,18,0.012,0,30
p0.50_thr0.005_win18_dd0.012_off0_unmet45,57,2042147.2816364637,1.0421472816364639,-0.14271275123632388,7.302411821006307,0.07170230126684207,0.6666666666666666,0.012836085295311274,0.013842732634124721,21.36842105263158,21.0,1218.0,0.0006007034990416606,0.5,0.005,18,0.012,0,45
p0.50_thr0.005_win18_dd0.012_off0_unmet60,57,2077298.5956849607,1.0772985956849608,-0.14271275123632376,7.548719973178983,0.07347766296541525,0.6842105263157895,0.013142391125778216,0.013842732634124721,22.45614035087719,21.0,1280.0,0.0005852471048198111,0.5,0.005,18,0.012,0,60
p0.50_thr0.005_win18_dd0.012_off2_unmet20,58,2127332.2945188032,1.1273322945188031,-0.14271275123632388,7.899310221074832,0.07595845004339474,0.7586206896551724,0.013323571648954698,0.01006655845172122,17.56896551724138,21.0,1019.0,0.0007583583470455079,0.5,0.005,18,0.012,2,20
p0.50_thr0.005_win18_dd0.012_off2_unmet30,56,2017085.3651084995,1.0170853651084997,-0.14721144940087438,6.909009925843843,0.070419587101749,0.7321428571428571,0.012812613610506115,0.01127354349964041,21.5,24.0,1204.0,0.0005959355167677263,0.5,0.005,18,0.012,2,30
p0.50_thr0.005_win18_dd0.012_off2_unmet45,53,2020257.304119684,1.020257304119684,-0.1472114494008745,6.930556748622185,0.07058272555878631,0.7169811320754716,0.013567821542203744,0.013875487703593092,23.69811320754717,24.0,1256.0,0.0005725275013828012,0.5,0.005,18,0.012,2,45
p0.50_thr0.005_win18_dd0.012_off2_unmet60,53,2094924.323024807,1.0949243230248071,-0.1472114494008745,7.437766066980269,0.07435768388591923,0.7358490566037735,0.014265451023548578,0.0139517349806631,25.150943396226417,24.0,1333.0,0.0005671934765551947,0.5,0.005,18,0.012,2,60
p0.50_thr0.005_win18_dd0.015_off0_unmet20,62,2084595.7323606864,1.0845957323606865,-0.14271275123632376,7.59985161076925,0.07384281072998689,0.6935483870967742,0.01213869754787651,0.006330648133262052,16.129032258064516,21.0,1000.0,0.0007525992479683436,0.5,0.005,18,0.015,0,20
p0.50_thr0.005_win18_dd0.015_off0_unmet30,60,2140238.8073440674,1.1402388073440672,-0.14271275123632376,7.989747219264943,0.0765898321558447,0.7,0.013013281922764389,0.008255765342598309,20.4,23.5,1224.0,0.0006379059766060976,0.5,0.005,18,0.015,0,30
p0.50_thr0.005_win18_dd0.015_off0_unmet45,58,2119829.308708152,1.1198293087081517,-0.14271275123632388,7.846736181644908,0.07558981485534799,0.6551724137931034,0.013279506469464141,0.012671742509582307,23.017241379310345,22.5,1335.0,0.0005769373597220376,0.5,0.005,18,0.015,0,45
p0.50_thr0.005_win18_dd0.015_off0_unmet60,58,2163998.5169293815,1.1639985169293814,-0.14271275123632388,8.156233460890041,0.07774321115690319,0.6724137931034483,0.013641705795475849,0.012671742509582307,24.482758620689655,22.5,1420.0,0.0005571964338997177,0.5,0.005,18,0.015,0,60
p0.50_thr0.005_win18_dd0.015_off2_unmet20,58,2127490.026841021,1.1274900268410213,-0.14271275123632376,7.900415464445538,0.07596618710821312,0.7586206896551724,0.013324851349779515,0.01006655845172122,17.603448275862068,21.0,1021.0,0.0007569455223185229,0.5,0.005,18,0.015,2,20
p0.50_thr0.005_win18_dd0.015_off2_unmet30,56,2085968.5346560788,1.0859685346560788,-0.14721144940087472,7.376929845306082,0.07391137655052149,0.7321428571428571,0.013446657725302288,0.01127354349964041,22.071428571428573,24.0,1236.0,0.0006092336833470292,0.5,0.005,18,0.015,2,30
p0.50_thr0.005_win18_dd0.015_off2_unmet45,54,2074618.2912188147,1.0746182912188145,-0.1472114494008746,7.299828210321459,0.07334324996838526,0.7037037037037037,0.013825275986733524,0.013859110168858907,25.24074074074074,24.0,1363.0,0.0005477365394597288,0.5,0.005,18,0.015,2,45
p0.50_thr0.005_win18_dd0.015_off2_unmet60,54,2156000.798453321,1.1560007984533214,-0.14721144940087472,7.852655504432881,0.07735625643133326,0.7222222222222222,0.014549799605124912,0.014224723186537447,27.37037037037037,24.0,1478.0,0.0005315894307691104,0.5,0.005,18,0.015,2,60
p0.50_thr0.005_win20_dd0.008_off0_unmet20,61,2109117.7639500033,1.1091177639500032,-0.14271275123632365,7.77167950545198,0.07506149043162358,0.7049180327868853,0.012531473666268049,0.008495512471788647,16.098360655737704,19.0,982.0,0.0007784316635869155,0.5,0.005,20,0.008,0,20
p0.50_thr0.005_win20_dd0.008_off0_unmet30,61,2031914.519844593,1.0319145198445931,-0.14271275123632376,7.2307100164848235,0.07118029653095981,0.7049180327868853,0.011903413863989567,0.008501457329045614,17.557377049180328,19.0,1071.0,0.0006779722182104236,0.5,0.005,20,0.008,0,30
p0.50_thr0.005_win20_dd0.008_off0_unmet45,60,2020255.23573765,1.02025523573765,-0.14271275123632376,7.149012452630588,0.07058261925360987,0.6833333333333333,0.01200568859646931,0.009363142833509419,18.016666666666666,19.0,1081.0,0.0006663656945311365,0.5,0.005,20,0.008,0,45
p0.50_thr0.005_win20_dd0.008_off0_unmet60,60,2024970.919509961,1.0249709195099612,-0.14271275123632376,7.182055637149555,0.07082472843533005,0.7,0.012044707660800406,0.009363142833509419,18.033333333333335,19.0,1082.0,0.0006679135486580632,0.5,0.005,20,0.008,0,60
