symbol,policy_name,signal_date,entry_date,trigger_date,exit_date,signal_index,entry_index,trigger_index,exit_index,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_trading_days,hold_calendar_days
159937.SZ,time_or_break_ma10,2021-08-06,2021-08-09,2021-08-09,2021-08-10,1360,1361,1361.0,1362,3.562999963760376,3.555999994277954,break_ma10,-0.001964627997086521,1032346.6293558602,1030318.4522651298,15,1
159937.SZ,time_or_break_ma10,2021-08-10,2021-08-11,2021-08-11,2021-08-12,1362,1363,1363.0,1364,3.5439999103546143,3.569999933242798,break_ma10,0.007336349758988003,1030318.4522651298,1037877.2287940859,15,1
159937.SZ,time_or_break_ma10,2021-08-12,2021-08-13,2021-08-13,2021-08-16,1364,1365,1365.0,1366,3.5840001106262207,3.631999969482422,break_ma10,0.013392817347824826,1037877.2287940859,1051777.3289487916,15,3
159937.SZ,time_or_break_ma10,2021-09-16,2021-09-17,2021-09-17,2021-09-22,1389,1390,1390.0,1391,3.5789999961853027,3.631999969482422,break_ma10,0.014808598310592114,1051777.3289487916,1067352.6769253819,15,5
159937.SZ,time_or_break_ma10,2021-09-28,2021-09-29,2021-09-29,2021-09-30,1395,1396,1396.0,1397,3.555999994277954,3.549000024795532,break_ma10,-0.001968495358179445,1067352.6769253819,1065251.598135314,15,1
159937.SZ,time_or_break_ma10,2021-11-23,2021-11-24,2021-11-24,2021-11-25,1430,1431,1431.0,1432,3.608999967575073,3.611000061035156,break_ma10,0.0005541960316022276,1065251.598135314,1065841.9563436585,15,1
159937.SZ,time_or_break_ma10,2021-11-26,2021-11-29,2021-11-29,2021-11-30,1433,1434,1434.0,1435,3.624000072479248,3.58899998664856,break_ma10,-0.009657860135401153,1065841.9563436585,1055548.2038028492,15,1
159937.SZ,time_or_break_ma10,2022-01-28,2022-02-07,2022-02-07,2022-02-08,1477,1478,1478.0,1479,3.618000030517578,3.640000104904175,break_ma10,0.006080728082097142,1055548.2038028492,1061966.7054077203,15,1
159937.SZ,time_or_break_ma10,2022-03-16,2022-03-17,2022-03-17,2022-03-18,1505,1506,1506.0,1507,3.825000047683716,3.857000112533569,break_ma10,0.00836602992181179,1061966.7054077203,1070851.1506411291,15,1
159937.SZ,time_or_break_ma10,2022-04-25,2022-04-26,2022-04-26,2022-04-27,1531,1532,1532.0,1533,3.9079999923706055,3.901999950408936,break_ma10,-0.0015353229205177232,1070851.1506411291,1069207.048325087,15,1
159937.SZ,time_or_break_ma10,2022-04-27,2022-04-28,2022-04-28,2022-04-29,1533,1534,1534.0,1535,3.882999897003174,3.933000087738037,break_ma10,0.01287669123387114,1069207.048325087,1082974.8973514477,15,1
159937.SZ,time_or_break_ma10,2022-05-12,2022-05-13,2022-05-13,2022-05-16,1541,1542,1542.0,1543,3.920000076293945,3.869999885559082,break_ma10,-0.012755150449418884,1082974.8973514477,1069161.389602786,15,3
159937.SZ,time_or_break_ma10,2022-05-16,2022-05-17,2022-05-17,2022-05-18,1543,1544,1544.0,1545,3.86899995803833,3.859999895095825,break_ma10,-0.0023261987697379416,1069161.389602786,1066674.3076936407,15,1
159937.SZ,time_or_break_ma10,2022-06-14,2022-06-15,2022-06-15,2022-06-16,1563,1564,1564.0,1565,3.829999923706055,3.836999893188477,break_ma10,0.001827668308580055,1066674.3076936407,1068623.8345213889,15,1
159937.SZ,time_or_break_ma10,2022-07-05,2022-07-06,2022-07-06,2022-07-07,1578,1579,1579.0,1580,3.736999988555908,3.67300009727478,break_ma10,-0.017126007887910077,1068623.8345213889,1050322.574302167,15,1
