trade_date,policy_name,selected_flag,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,symbol
2022-01-28,drop_bottom_10pct,1,0.0589707625872906,0.0047287788067835,0.0764950917274855,159937.SZ
2022-04-25,drop_bottom_10pct,1,-0.019612872853914,-0.0236882757940535,0.0071319095991593,159937.SZ
2022-04-26,drop_bottom_10pct,1,-0.0056497365395141,-0.0156651535393587,0.0154083055872236,159937.SZ
2022-04-27,drop_bottom_10pct,1,-0.0053956599854535,-0.0151593052070875,0.0159301225276706,159937.SZ
2022-04-28,drop_bottom_10pct,1,-0.0010293228476603,-0.0136386964528333,0.0174987338230752,159937.SZ
2022-05-12,drop_bottom_10pct,1,-0.0127226339610576,-0.0246819644841256,-0.0025445267922115,159937.SZ
2022-05-13,drop_bottom_10pct,1,-0.0059125967319003,-0.0146529970900063,0.0071979118700762,159937.SZ
2022-05-16,drop_bottom_10pct,1,0.0005196397692845,-0.0041569323252977,0.0179267358099133,159937.SZ
2022-07-05,drop_bottom_10pct,1,-0.0342375239329056,-0.053199869996883,-0.0158019341228795,159937.SZ
2022-07-06,drop_bottom_10pct,1,-0.0174590535467756,-0.0343808808154312,-0.0061778140212152,159937.SZ
2022-07-07,drop_bottom_10pct,1,0.0048992616616632,-0.0215024484627485,0.0057158160875174,159937.SZ
2022-07-08,drop_bottom_10pct,1,0.0207197316139982,-0.019901841484534,0.0223555118729268,159937.SZ
2022-07-11,drop_bottom_10pct,1,0.0207311009046509,-0.0193671202689746,0.0229132878235218,159937.SZ
2022-07-12,drop_bottom_10pct,1,0.0283688201557745,-0.0193671202689746,0.0351882680886281,159937.SZ
2022-07-15,drop_bottom_10pct,1,0.0461198710129826,-0.0071803431423383,0.0480530301907973,159937.SZ
2022-08-22,drop_bottom_10pct,1,0.0096025640585366,-0.008802345087388,0.0141370958315478,159937.SZ
2022-08-31,drop_bottom_10pct,1,-0.0007987276217569,-0.0106496169877933,0.0093183831259568,159937.SZ
2022-09-01,drop_bottom_10pct,1,0.0101876322248339,-0.0037533348239288,0.0163538525437982,159937.SZ
2022-09-15,drop_bottom_10pct,1,0.0197808397241432,-0.0045442288777609,0.0251269988428317,159937.SZ
