"split_name","week_start","week_end","spot_weekly_return","spot_first_close","spot_last_close","next_week_return","next_week_positive_label","weekly_spot_return_min","weekly_spot_return_p10","weekly_spot_return_p25","weekly_spot_return_p50","weekly_spot_return_p75","weekly_spot_return_p90","weekly_spot_return_max","weekly_spot_close_position","weekly_spot_drawdown","weekly_spot_rebound","weekly_price_position_52w"
"train","2021-06-07","2021-06-11","-0.0024297672854286523","29019.24","28948.73","0.0005302477863451394","1",,,,,,,,,,,"0.5"
"train","2021-06-14","2021-06-18","-0.006780102737142357","29161.8","28964.08","0.0035250558622956785","1",,,,,,,,,,,"0.5"
"train","2021-06-21","2021-06-25","0.03767279415571001","28010.93","29066.18","-0.00973296112526656","0",,,,,,,,,,,"0.5"
"train","2021-06-28","2021-07-02","-0.009113874198654504","29048.02","28783.28","-0.029282972614656844","0",,,,,,,,,,,"0.5"
"train","2021-07-05","2021-07-09","-0.02300040666909342","28598.19","27940.42","0.002242629137285901","1",,,,,,,,,,,"0.5"
"train","2021-07-12","2021-07-16","-0.01980956994674643","28569.02","28003.08","-0.016251069525209383","0",,,,,,,,,,,"0.5"
"train","2021-07-19","2021-07-21","-0.0037876897551563093","27652.74","27548.0","-0.009598155945985232","0",,,,,,,,,,,"0.5"
"train","2021-07-26","2021-07-30","-0.019749731346887178","27833.29","27283.59","0.019662001957953423","1",,,,,,,,,,,"0.5"
"train","2021-08-02","2021-08-06","0.0014045560602167217","27781.02","27820.04","0.00564736786862996","1",,,,,,,,,,,"0.5"
"train","2021-08-09","2021-08-13","0.0031913196106589936","27888.15","27977.15","-0.03445311620375924","0",,,,,,,,,,,"0.5"
"train","2021-08-16","2021-08-20","-0.01852764886628322","27523.19","27013.25","0.0232437785160986","1",,,,,,,,,,,"0.5"
"train","2021-08-23","2021-08-27","0.005342937284318339","27494.24","27641.14","0.053795538100092966","1",,,,,,,,,,,"0.5"
"train","2021-08-30","2021-09-03","0.04817755329481255","27789.29","29128.11","0.043041927540097946","1",,,,,,,,,,,"0.5"
"train","2021-09-06","2021-09-10","0.024340953388566122","29659.89","30381.84","0.00389081108978262","1",,,,,,,,,,,"0.5"
"train","2021-09-13","2021-09-17","0.0017301987002489305","30447.37","30500.05","-0.008237363545305576","0",,,,,,,,,,,"0.5"
"train","2021-09-20","2021-09-24","0.013709918762615292","29839.71","30248.81","-0.04885283090475301","0",,,,,,,,,,,"0.5"
"train","2021-09-27","2021-10-01","-0.04857761525605442","30240.06","28771.07","-0.025099170799000592","0",,,,,,,,,,,"0.7701716886528104"
"train","2021-10-04","2021-10-08","-0.013919899145329873","28444.89","28048.94","0.03635395847401024","1",,,,,,,,,,,"0.6741810360870512"
"train","2021-10-11","2021-10-15","0.020016351909945218","28498.2","29068.63","-0.009074387062617095","0",,,,,,,,,,,"0.8097254789363706"
"train","2021-10-18","2021-10-22","-0.007600568604252955","29025.46","28804.85","0.0030494864580097314","1",,,,,,,,,,,"0.7746619663641244"
"train","2021-10-25","2021-10-29","0.010219433917206144","28600.41","28892.69","0.024881033922421247","1",,,,,,,,,,,"0.7863382835388385"
"train","2021-11-01","2021-11-05","-0.0011977570809672544","29647.08","29611.57","-5.40329337485046e-05","0",,,,,,,,,,,"0.8561124048960133"
"train","2021-11-08","2021-11-12","0.003487979991222412","29507.05","29609.97","0.004589670303617233","1",,,,,,,,,,,"0.8259584136655342"
"train","2021-11-15","2021-11-19","-0.0010387281373418489","29776.8","29745.87","-0.0334248082170735","0",,,,,,,,,,,"0.8483353041016112"
"train","2021-11-22","2021-11-26","-0.0343415806551397","29774.11","28751.62","-0.025113367525029906","0",,,,,,,,,,,"0.5464913600356907"
"train","2021-11-29","2021-12-03","-0.008992742165866652","28283.92","28029.57","0.014563191657952723","1",,,,,,,,,,,"0.3579049416118912"
"train","2021-12-06","2021-12-10","0.018275978010102722","27927.37","28437.77","0.0037946013347740504","1",,,,,,,,,,,"0.46399898116453947"
"train","2021-12-13","2021-12-17","-0.0033103483913857756","28640.49","28545.68","0.008299329355615281","1",,,,,,,,,,,"0.4915050059321858"
"train","2021-12-20","2021-12-24","0.030237874765416395","27937.81","28782.59","0.00031685821185645224","1",,,,,,,,,,,"0.5531450991819828"
"train","2021-12-27","2021-12-30","0.0040189758429038935","28676.46","28791.71","-0.010876394628870578","0",,,,,,,,,,,"0.5100550648158769"
"train","2022-01-03","2022-01-07","-0.028094870654659654","29301.79","28478.56","-0.012440235742256722","0",,,,,,,,,,,"0.4202449237122868"
"train","2022-01-10","2022-01-14","-0.0034794957778339075","28222.48","28124.28","-0.021405703541566234","0",,,,,,,,,,,"0.3186388665825396"
"train","2022-01-17","2022-01-21","-0.02863251724459237","28333.52","27522.26","-0.029246144757007486","0",,,,,,,,,,,"0.14598198921647312"
"train","2022-01-24","2022-01-28","-0.03157236183217782","27588.37","26717.34","0.027047977081550822","1",,,,,,,,,,,"0.0"
"train","2022-01-31","2022-02-04","0.01622140302303765","27001.98","27439.99","0.00933272934866225","1",,,,,,,,,,,"0.19104028593257258"
"train","2022-02-07","2022-02-10","0.016412056720150225","27248.87","27696.08","-0.020725315640336195","0",,,,,,,,,,,"0.25874042683684495"
"train","2022-02-14","2022-02-18","0.001568709127427681","27079.59","27122.07","-0.023802386764727013","0",,,,,,,,,,,"0.10699472071610028"
"train","2022-02-21","2022-02-25","-0.01614106121429737","26910.87","26476.5","-0.01854588030895321","0",,,,,,,,,,,"0.0"
"train","2022-02-28","2022-03-04","-0.020407647807011875","26526.82","25985.47","-0.03165961593151878","0",,,,,,,,,,,"0.0"
"train","2022-03-07","2022-03-11","-0.0023246123035944866","25221.41","25162.78","0.0661552499366127","1",,,,,,,,,,,"0.0"
"train","2022-03-14","2022-03-18","0.06004382039564815","25307.85","26827.43","0.04929320475349286","1",,,,,,,,,,,"0.311891659968486"
"train","2022-03-21","2022-03-25","0.03400405008648577","27224.11","28149.84","-0.017188730024753296","0",,,,,,,,,,,"0.5596606504823629"
"train","2022-03-28","2022-04-01","-0.00994528678720108","27943.89","27665.98","-0.02458542946969533","0",,,,,,,,,,,"0.4690038165579033"
"train","2022-04-04","2022-04-08","-0.027064366878698065","27736.47","26985.8","0.003979500329803098","1",,,,,,,,,,,"0.34156413297434834"
"train","2022-04-11","2022-04-15","0.0101288070176484","26821.52","27093.19","0.00044549940409388533","1",,,,,,,,,,,"0.3616849063285162"
"train","2022-04-18","2022-04-22","0.01140124277464194","26799.71","27105.26","-0.009494836057650669","0",,,,,,,,,,,"0.3639463620914811"
"train","2022-04-25","2022-04-28","0.00966951702808272","26590.78","26847.9","0.005797846386495831","1",,,,,,,,,,,"0.3157269540420482"
"train","2022-05-02","2022-05-06","0.006899334154407466","26818.53","27003.56","-0.021327187970771266","0",,,,,,,,,,,"0.34489167683103955"
"train","2022-05-09","2022-05-13","0.004115224773873605","26319.34","26427.65","0.011782356736221189","1",,,,,,,,,,,"0.23698819808628804"
"train","2022-05-16","2022-05-20","0.0072316886433709815","26547.05","26739.03","0.0015950466415572961","1",,,,,,,,,,,"0.2953288853664888"
"train","2022-05-23","2022-05-27","-0.008141763871071017","27001.52","26781.68","0.03658807065128111","1",,,,,,,,,,,"0.3033198620268417"
"train","2022-05-30","2022-06-03","0.01432766411284403","27369.43","27761.57","0.002259238220316817","1",,,,,,,,,,,"0.4869137218090898"
"train","2022-06-06","2022-06-10","-0.003281285318146754","27915.89","27824.29","-0.06689442929181666","0",,,,,,,,,,,"0.49866504786154753"
"train","2022-06-13","2022-06-17","-0.03795988059630695","26987.44","25963.0","0.020373993760351317","1",,,,,,,,,,,"0.14993058248880067"
"train","2022-06-20","2022-06-24","0.027967244080800313","25771.22","26491.97","-0.02100070323196057","0",,,,,,,,,,,"0.24903930286457351"
"train","2022-06-27","2022-07-01","-0.03481971637365866","26871.27","25935.62","0.0224236012094563","1",,,,,,,,,,,"0.14480061904306885"
"train","2022-07-04","2022-07-08","0.01389396038282742","26153.81","26517.19","0.010230344919654133","1",,,,,,,,,,,"0.2537645650304369"
"train","2022-07-11","2022-07-15","-0.0008887711982932256","26812.3","26788.47","0.0420401015810159","1",,,,,,,,,,,"0.3045920479945744"
"train","2022-07-18","2022-07-22","0.035345720296361405","26961.68","27914.66","-0.004048768639847267","0",,,,,,,,,,,"0.51559692501972"
"train","2022-07-25","2022-07-29","0.003696489977165429","27699.25","27801.64","0.013460716705920861","1",,,,,,,,,,,"0.49442130527404465"
"train","2022-08-01","2022-08-05","0.0065201199570612545","27993.35","28175.87","0.013171199327651761","1",,,,,,,,,,,"0.5645376756281769"
"train","2022-08-08","2022-08-12","0.010539752573874406","28249.24","28546.98","0.01342874097365132","1",,,,,,,,,,,"0.6340694774669448"
"train","2022-08-15","2022-08-19","0.002027931772824676","28871.78","28930.33","-0.009987787902868694","0",,,,,,,,,,,"0.7058945865582972"
"train","2022-08-22","2022-08-26","-0.0053176821962527265","28794.5","28641.38","-0.03458422743596856","0",,,,,,,,,,,"0.651756422290797"
"train","2022-08-29","2022-09-02","-0.008182514699257015","27878.96","27650.84","0.0203939554820034","1",,,,,,,,,,,"0.466167160364756"
"train","2022-09-05","2022-09-09","0.021547733657354406","27619.61","28214.75","-0.02293481246511131","0",,,,,,,,,,,"0.5718222986657975"
"train","2022-09-12","2022-09-16","-0.03414113392457663","28542.11","27567.65","-0.015011072761007882","0",,,,,,,,,,,"0.4505805402387367"
"train","2022-09-19","2022-09-22","-0.019307349426222142","27688.42","27153.83","-0.044804729203946625","0",,,,,,,,,,,"0.3914742933093202"
"train","2022-09-26","2022-09-30","-0.018702648917676035","26431.55","25937.21","0.045452074452109636","1",,,,,,,,,,,"0.16897551651833156"
"train","2022-10-03","2022-10-07","0.03434266142656761","26215.79","27116.11","-0.0009348686076284807","0",,,,,,,,,,,"0.4262037184519618"
"train","2022-10-10","2022-10-14","0.026116566450452128","26401.25","27090.76","-0.007389235296462626","0",,,,,,,,,,,"0.42067251570447"
"train","2022-10-17","2022-10-21","0.004287081725693254","26775.79","26890.58","0.007981233576962676","1",,,,,,,,,,,"0.37699456043848206"
"train","2022-10-24","2022-10-28","0.004830416424157269","26974.9","27105.2","0.0034878916222718104","1",,,,,,,,,,,"0.423823228433219"
"train","2022-10-31","2022-11-04","-0.014054211587438581","27587.46","27199.74","0.03911177092133955","1",,,,,,,,,,,"0.4444512326836267"
"train","2022-11-07","2022-11-11","0.026734220587017354","27527.64","28263.57","-0.012871693137137319","0",,,,,,,,,,,"0.6765719198182887"
"train","2022-11-14","2022-11-18","-0.002277971939820045","27963.47","27899.77","0.013737030807063899","1",,,,,,,,,,,"0.597193160073226"
"train","2022-11-21","2022-11-25","0.012103866230520843","27944.79","28283.03","-0.01785982619259663","0",,,,,,,,,,,"0.8281907340313991"
"train","2022-11-28","2022-12-02","-0.013668015607806505","28162.83","27777.9","0.004431940499461717","1",,,,,,,,,,,"0.694116866398588"
"train","2022-12-05","2022-12-09","0.0028975140544347244","27820.4","27901.01","-0.013400590157847336","0",,,,,,,,,,,"0.7267932741436736"
"train","2022-12-12","2022-12-16","-0.011321250771756608","27842.33","27527.12","-0.046930808598938056","0",,,,,,,,,,,"0.6275537152791597"
"train","2022-12-19","2022-12-23","-0.03680164654500162","27237.64","26235.25","-0.005364919335626661","0",,,,,,,,,,,"0.28465979217263215"
"train","2022-12-26","2022-12-30","-0.011791696316008515","26405.87","26094.5","-0.004623579681542145","0",,,,,,,,,,,"0.2473012965985854"
"train","2023-01-02","2023-01-06","0.009993055139702056","25716.86","25973.85","0.0056083329964560225","1",,,,,,,,,,,"0.21527783307454423"
"train","2023-01-09","2023-01-13","-0.002140928408026488","26175.56","26119.52","0.016616308416081083","1",,,,,,,,,,,"0.2539422170906825"
"train","2023-01-16","2023-01-20","0.028316975391831534","25822.32","26553.53","0.031221084353003192","1",,,,,,,,,,,"0.369139095698796"
"train","2023-01-23","2023-01-27","0.017710521503721877","26906.04","27382.56","0.004634336599645739","1",,,,,,,,,,,"0.5891839524359334"
"train","2023-01-30","2023-02-03","0.002772532752046697","27433.4","27509.46","0.005871434771893114","1",,,,,,,,,,,"0.6228663189605973"
"train","2023-02-06","2023-02-10","-0.0008185992095661732","27693.65","27670.98","-0.005704532329537937","0",,,,,,,,,,,"0.665737680986317"
"train","2023-02-13","2023-02-17","0.0031286323271833005","27427.32","27513.13","-0.002168055761013088","0",,,,,,,,,,,"0.6238404268025641"
"train","2023-02-20","2023-02-24","-0.0028497810179739513","27531.94","27453.48","0.017265206451058335","1",,,,,,,,,,,"0.6080078565646106"
"train","2023-02-27","2023-03-03","0.01836022222902889","27423.96","27927.47","0.007752223885657994","1",,,,,,,,,,,"0.733816405887115"
"train","2023-03-06","2023-03-10","-0.0033221450128161356","28237.78","28143.97","-0.02878698349948494","0",,,,,,,,,,,"0.7912808058287216"
"train","2023-03-13","2023-03-17","-0.01793449205546227","27832.96","27333.79","0.0018826514727741106","1",,,,,,,,,,,"0.466879931612744"
"train","2023-03-20","2023-03-24","0.01631356726331168","26945.67","27385.25","0.023962899736171828","1",,,,,,,,,,,"0.4840635654203578"
"train","2023-03-27","2023-03-31","0.020548555930861134","27476.87","28041.48","-0.01865700383859903","0",,,,,,,,,,,"0.703193297514617"
"train","2023-04-03","2023-04-07","-0.023763177079730302","28188.15","27518.31","0.03543676919113126","1",,,,,,,,,,,"0.5284952466182037"
"train","2023-04-10","2023-04-14","0.03111458996021521","27633.66","28493.47","0.002488289422102552","1",,,,,,,,,,,"0.8541227698174447"
"train","2023-04-17","2023-04-21","0.0017390981098224234","28514.78","28564.37","0.010224976080340564","1",,,,,,,,,,,"0.8777978502092014"
"train","2023-04-24","2023-04-28","0.009195090356136637","28593.52","28856.44","0.01044862082779452","1",,,,,,,,,,,"0.9753264923815652"
"train","2023-05-01","2023-05-02","0.0011938943480760411","29123.18","29157.95","0.007900075279640761","1",,,,,,,,,,,"1.0"
"train","2023-05-08","2023-05-12","0.015144104224266153","28949.88","29388.3","0.04832024989536654","1",,,,,,,,,,,"1.0"
"train","2023-05-15","2023-05-19","0.03989726709407915","29626.34","30808.35","0.003504244790779154","1",,,,,,,,,,,"1.0"
"train","2023-05-22","2023-05-26","-0.005484961150738377","31086.82","30916.31","0.019663083983826102","1",,,,,,,,,,,"1.0"
"train","2023-05-29","2023-06-02","0.00930666200501129","31233.54","31524.22","0.02350415014233498","1",,,,,,,,,,,"1.0"
"train","2023-06-05","2023-06-09","0.00148180658730368","32217.43","32265.17","0.0446583731001573","1",,,,,,,,,,,"1.0"
"train","2023-06-12","2023-06-16","0.03922057100573473","32434.0","33706.08","-0.02742947266487239","0",,,,,,,,,,,"1.0"
"train","2023-06-19","2023-06-23","-0.017646766207916942","33370.42","32781.54","0.012430776589507309","1",,,,,,,,,,,"0.881018626953874"
"train","2023-06-26","2023-06-30","0.014992288710200752","32698.81","33189.04","-0.024123023745188266","0",,,,,,,,,,,"0.93346082471308"
"train","2023-07-03","2023-07-07","-0.040437787916036805","33753.33","32388.42","8.768566049233151e-05","1",,,,,,,,,,,"0.8303923221781285"
"train","2023-07-10","2023-07-14","0.0062606924630930205","32189.73","32391.26","-0.002686218442876198","0",,,,,,,,,,,"0.8307578837076688"
"train","2023-07-17","2023-07-21","-0.00583617412381221","32493.89","32304.25","0.01408421492528067","1",,,,,,,,,,,"0.8195580567058013"
"train","2023-07-24","2023-07-28","0.0017825175667733895","32700.94","32759.23","-0.01729222573302236","0",,,,,,,,,,,"0.8781225583643436"
"train","2023-07-31","2023-08-04","-0.02952681490717235","33172.22","32192.75","0.008725567091969477","1",,,,,,,,,,,"0.8052059051058904"
