config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.70_calways_dd0.020_s12_h30_loss_time_exit_20d,58,2116522.6458543576,1.1165226458543578,-0.14271275123632376,7.8235661227318305,0.7413793103448276,0.01324408535242629,0.007384806303898294,20.396551724137932,22.0,0.7,always,0.02,12,30,time_exit_20d
p0.70_calways_dd0.020_s12_h30_loss_no_partial_trailing,57,1902662.0980167112,0.9026620980167113,-0.14271275123632376,6.3250276530788545,0.7192982456140351,0.011591296748463174,0.0052176948621441,21.228070175438596,24.0,0.7,always,0.02,12,30,no_partial_trailing
p0.70_calways_dd0.020_s12_h30_loss_hold_to_max,57,2136682.4238941176,1.1366824238941176,-0.14271275123632376,7.964827347570642,0.7543859649122807,0.013653633538041587,0.008803964313783141,21.43859649122807,24.0,0.7,always,0.02,12,30,hold_to_max
p0.70_calways_dd0.020_s12_h45_loss_time_exit_20d,57,2062563.5328062887,1.0625635328062888,-0.14271275123632388,7.445470174187494,0.7368421052631579,0.013003116986262003,0.008803964313783141,22.92982456140351,22.0,0.7,always,0.02,12,45,time_exit_20d
p0.70_calways_dd0.020_s12_h45_loss_no_partial_trailing,56,1849338.1446159047,0.8493381446159047,-0.14271275123632376,5.951382320486918,0.6785714285714286,0.011272016742443972,0.006082893812985817,23.553571428571427,23.5,0.7,always,0.02,12,45,no_partial_trailing
p0.70_calways_dd0.020_s12_h45_loss_hold_to_max,55,2180277.2841017256,1.1802772841017255,-0.14271275123632376,8.270300122988008,0.7454545454545455,0.014531154891554508,0.01111885976109358,24.98181818181818,24.0,0.7,always,0.02,12,45,hold_to_max
p0.70_calways_dd0.020_s12_h60_loss_time_exit_20d,56,2057229.0183525747,1.0572290183525745,-0.14271275123632376,7.408090792124571,0.75,0.013187341781908054,0.008572502778515224,24.053571428571427,22.0,0.7,always,0.02,12,60,time_exit_20d
p0.70_calways_dd0.020_s12_h60_loss_no_partial_trailing,55,1859247.8624991488,0.8592478624991489,-0.14271275123632376,6.020820529738691,0.7090909090909091,0.011572224048920898,0.005730780481587229,24.854545454545455,24.0,0.7,always,0.02,12,60,no_partial_trailing
p0.70_calways_dd0.020_s12_h60_loss_hold_to_max,54,2302340.0290528345,1.3023400290528344,-0.14271275123632388,9.125603828464047,0.7777777777777778,0.015852546102007068,0.011385219884838677,27.444444444444443,24.0,0.7,always,0.02,12,60,hold_to_max
p0.70_calways_dd0.020_s15_h20_loss_time_exit_20d,59,2119227.6984799015,1.1192276984799014,-0.14271275123632388,7.842520649234255,0.7288135593220338,0.013029234405529562,0.008341041243247305,17.271186440677965,21.0,0.7,always,0.02,15,20,time_exit_20d
p0.70_calways_dd0.020_s15_h20_loss_no_partial_trailing,59,1971317.0935371902,0.9713170935371902,-0.14271275123632376,6.806098860281569,0.6949152542372882,0.011792768024611173,0.005977435922992257,17.271186440677965,21.0,0.7,always,0.02,15,20,no_partial_trailing
p0.70_calways_dd0.020_s15_h20_loss_hold_to_max,59,2119227.6984799015,1.1192276984799014,-0.14271275123632388,7.842520649234255,0.7288135593220338,0.013029234405529562,0.008341041243247305,17.271186440677965,21.0,0.7,always,0.02,15,20,hold_to_max
p0.70_calways_dd0.020_s15_h30_loss_time_exit_20d,58,2129051.302770109,1.129051302770109,-0.14271275123632388,7.911355453448352,0.7413793103448276,0.013345414846814533,0.007384806303898294,20.75862068965517,22.0,0.7,always,0.02,15,30,time_exit_20d
p0.70_calways_dd0.020_s15_h30_loss_no_partial_trailing,57,1913924.817411349,0.913924817411349,-0.14271275123632376,6.403946455337717,0.7192982456140351,0.011694403953279283,0.0052176948621441,21.596491228070175,24.0,0.7,always,0.02,15,30,no_partial_trailing
p0.70_calways_dd0.020_s15_h30_loss_hold_to_max,57,2149330.415674087,1.1493304156740871,-0.14271275123632388,8.05345286750771,0.7543859649122807,0.013756740742857692,0.008803964313783141,21.80701754385965,25.0,0.7,always,0.02,15,30,hold_to_max
p0.70_calways_dd0.020_s15_h45_loss_time_exit_20d,57,2074390.8837284625,1.0743908837284626,-0.14271275123632354,7.528345396056007,0.7368421052631579,0.01310288442417227,0.008803964313783141,23.54385964912281,22.0,0.7,always,0.02,15,45,time_exit_20d
p0.70_calways_dd0.020_s15_h45_loss_no_partial_trailing,56,1859942.797933116,0.859942797933116,-0.14271275123632376,6.025689999550932,0.6785714285714286,0.01137356574174549,0.006082893812985817,24.178571428571427,24.0,0.7,always,0.02,15,45,no_partial_trailing
p0.70_calways_dd0.020_s15_h45_loss_hold_to_max,55,2192779.640580233,1.1927796405802331,-0.14271275123632365,8.357905164374992,0.7454545454545455,0.014634550236297873,0.011651580008583773,25.618181818181817,24.0,0.7,always,0.02,15,45,hold_to_max
p0.70_calways_dd0.020_s15_h60_loss_time_exit_20d,56,2065735.120287738,1.065735120287738,-0.14271275123632388,7.467693748843393,0.75,0.013260005479697813,0.008572502778515224,24.732142857142858,22.0,0.7,always,0.02,15,60,time_exit_20d
p0.70_calways_dd0.020_s15_h60_loss_no_partial_trailing,55,1866935.364328097,0.866935364328097,-0.14271275123632365,6.074687488103321,0.7090909090909091,0.011646208904852287,0.005730780481587229,25.545454545454547,24.0,0.7,always,0.02,15,60,no_partial_trailing
p0.70_calways_dd0.020_s15_h60_loss_hold_to_max,54,2311859.600671657,1.311859600671657,-0.14271275123632365,9.19230825071333,0.7777777777777778,0.015927901047863118,0.012178614805858606,28.14814814814815,24.5,0.7,always,0.02,15,60,hold_to_max
p0.70_calways_dd0.020_s18_h20_loss_time_exit_20d,58,2127190.91107447,1.1271909110744698,-0.14271275123632376,7.898319535637773,0.7413793103448276,0.013319138333004852,0.008682037095949263,17.637931034482758,21.0,0.7,always,0.02,18,20,time_exit_20d
p0.70_calways_dd0.020_s18_h20_loss_no_partial_trailing,58,1978724.5170615262,0.9787245170615262,-0.14271275123632376,6.8580032869019325,0.7068965517241379,0.01206135356620856,0.006847073899748923,17.637931034482758,21.0,0.7,always,0.02,18,20,no_partial_trailing
p0.70_calways_dd0.020_s18_h20_loss_hold_to_max,58,2127190.91107447,1.1271909110744698,-0.14271275123632376,7.898319535637773,0.7413793103448276,0.013319138333004852,0.008682037095949263,17.637931034482758,21.0,0.7,always,0.02,18,20,hold_to_max
p0.70_calways_dd0.020_s18_h30_loss_time_exit_20d,58,2054802.834954701,1.054802834954701,-0.14271275123632376,7.391090325264703,0.7413793103448276,0.01271364951925298,0.00606982639692002,20.82758620689655,24.0,0.7,always,0.02,18,30,time_exit_20d
p0.70_calways_dd0.020_s18_h30_loss_no_partial_trailing,58,1909314.8075639966,0.9093148075639967,-0.14271275123632388,6.371643736712953,0.7241379310344828,0.011438778230882988,0.005067299690259888,21.67241379310345,25.0,0.7,always,0.02,18,30,no_partial_trailing
p0.70_calways_dd0.020_s18_h30_loss_hold_to_max,58,2127798.1205791994,1.1277981205791994,-0.14271275123632365,7.902574302639812,0.7586206896551724,0.013334336218309362,0.0076162678391662126,21.862068965517242,25.0,0.7,always,0.02,18,30,hold_to_max
p0.70_calways_dd0.020_s18_h45_loss_time_exit_20d,58,2039410.0097548012,1.0394100097548011,-0.14271275123632388,7.283231531523064,0.7241379310344828,0.01256888174338565,0.008572502778515224,23.913793103448278,23.0,0.7,always,0.02,18,45,time_exit_20d
